,mean,std,mode,percentile_16,percentile_50,percentile_95,max_likelihood
xc/eta,35.569,"[0, 0]",35.569,"[35.569, 35.569]","[35.569, 35.569]","[35.569, 35.569]",35.07
beta/eta,106.095,"[0, 0]",106.095,"[106.095, 106.095]","[106.095, 106.095]","[106.095, 106.095]",106.221
xc^2/epsilon,8.042,"[0, 0]",8.042,"[8.042, 8.042]","[8.042, 8.042]","[8.042, 8.042]",8.143
xc,62.598,"[0, 0]",62.598,"[62.598, 62.598]","[62.598, 62.598]","[62.598, 62.598]",61.492
eta,1.689,"[0, 0]",1.689,"[1.689, 1.689]","[1.689, 1.689]","[1.689, 1.689]",1.753
beta,193.551,"[0, 0]",193.551,"[193.551, 193.551]","[193.551, 193.551]","[193.551, 193.551]",186.251
epsilon,468.018,"[0, 0]",468.018,"[468.018, 468.018]","[468.018, 468.018]","[468.018, 468.018]",464.349
sqrt(xc/eta),5.964,"[0, 0]",5.964,"[5.964, 5.964]","[5.964, 5.964]","[5.964, 5.964]",5.922
s= eta^0.5*xc^1.5/epsilon,1.372,"[0, 0]",1.372,"[1.372, 1.372]","[1.372, 1.372]","[1.372, 1.372]",1.375
beta*xc/epsilon,24.523,"[0, 0]",24.523,"[24.523, 24.523]","[24.523, 24.523]","[24.523, 24.523]",24.665
eta*xc/epsilon,0.233,"[0, 0]",0.233,"[0.233, 0.233]","[0.233, 0.233]","[0.233, 0.233]",0.232
Fx=beta^2/eta*xc,316.931,"[0, 0]",316.931,"[316.931, 316.931]","[316.931, 316.931]","[316.931, 316.931]",321.728
Dx =beta*epsilon/eta*xc^2,12.972,"[0, 0]",12.972,"[12.972, 12.972]","[12.972, 12.972]","[12.972, 12.972]",13.044
Pk=beta*k/epsilon,0.195,"[0, 0]",0.195,"[0.195, 0.195]","[0.195, 0.195]","[0.195, 0.195]",0.201
Fk=beta^2/eta*k,38545.493,"[0, 0]",38545.493,"[38545.493, 38545.493]","[38545.493, 38545.493]","[38545.493, 38545.493]",39567.453
Dk =beta*epsilon/eta*k^2,190948.638,"[0, 0]",190948.638,"[190948.638, 190948.638]","[190948.638, 190948.638]","[190948.638, 190948.638]",197294.153
Fk^2/Dk=beta^3/eta*epsilon,7752.185,"[0, 0]",7752.185,"[7752.185, 7752.185]","[7752.185, 7752.185]","[7752.185, 7752.185]",7935.275
best fit_MedianLifetime,93.52,0.5100000000000051,93.52,"[93.03, 94.03]","[93.03, 94.03]","[93.03, 94.03]",93.52
best fit_MaxLifetime,100.0,0,100.0,"[100.0, 100.0]","[100.0, 100.0]","[100.0, 100.0]",100.0
data_MedianLifetime,80.0,0.6299999999999955,80.0,"[79.38, 80.63]","[79.38, 80.63]","[79.38, 80.63]",80.0
data_MaxLifetime,85,0,85,"[85, 85]","[85, 85]","[85, 85]",85
