,mean,std,mode,percentile_16,percentile_50,percentile_95,max_likelihood
xc/eta,16.014,"[2.13e-14, 2.13e-14]",16.014,"[16.014, 16.014]","[16.014, 16.014]","[16.014, 16.014]",15.718
beta/eta,121.875,"[0, 0]",121.875,"[121.875, 121.875]","[121.875, 121.875]","[121.875, 121.875]",122.359
xc^2/epsilon,2.775,"[3.11e-15, 3.11e-15]",2.775,"[2.775, 2.775]","[2.775, 2.775]","[2.775, 2.775]",2.798
xc,33.212,"[0, 0]",33.212,"[33.212, 33.212]","[33.212, 33.212]","[33.212, 33.212]",32.758
eta,2.091,"[3.11e-15, 2.66e-15]",2.091,"[2.091, 2.091]","[2.091, 2.091]","[2.091, 2.091]",2.084
beta,247.414,"[4.26e-13, 4.55e-13]",247.414,"[247.414, 247.414]","[247.414, 247.414]","[247.414, 247.414]",255.014
epsilon,398.489,"[3.41e-13, 3.41e-13]",398.489,"[398.489, 398.489]","[398.489, 398.489]","[398.489, 398.489]",383.535
sqrt(xc/eta),4.002,"[2.66e-15, 2.66e-15]",4.002,"[4.002, 4.002]","[4.002, 4.002]","[4.002, 4.002]",3.965
s= eta^0.5*xc^1.5/epsilon,0.706,"[3.33e-16, 3.33e-16]",0.706,"[0.706, 0.706]","[0.706, 0.706]","[0.706, 0.706]",0.706
beta*xc/epsilon,21.758,"[0, 0]",21.758,"[21.758, 21.758]","[21.758, 21.758]","[21.758, 21.758]",21.781
eta*xc/epsilon,0.178,"[0, 0]",0.178,"[0.178, 0.178]","[0.178, 0.178]","[0.178, 0.178]",0.178
Fx=beta^2/eta*xc,952.502,"[9.09e-13, 7.96e-13]",952.502,"[952.502, 952.502]","[952.502, 952.502]","[952.502, 952.502]",952.531
Dx =beta*epsilon/eta*xc^2,44.605,"[5.68e-14, 6.39e-14]",44.605,"[44.605, 44.605]","[44.605, 44.605]","[44.605, 44.605]",43.732
Pk=beta*k/epsilon,0.342,"[0, 0]",0.342,"[0.342, 0.342]","[0.342, 0.342]","[0.342, 0.342]",0.332
Fk=beta^2/eta*k,63967.778,"[1.09e-10, 1.16e-10]",63967.778,"[63967.778, 63967.778]","[63967.778, 63967.778]","[63967.778, 63967.778]",62406.611
Dk =beta*epsilon/eta*k^2,186405.974,"[3.49e-10, 3.2e-10]",186405.974,"[186405.974, 186405.974]","[186405.974, 186405.974]","[186405.974, 186405.974]",187716.031
Fk^2/Dk=beta^3/eta*epsilon,20778.498,"[3.64e-11, 3.64e-11]",20778.498,"[20778.498, 20778.498]","[20778.498, 20778.498]","[20778.498, 20778.498]",20747.216
best fit_MedianLifetime,92.0,0.5100000000000051,92.0,"[91.51, 92.51]","[91.51, 92.51]","[91.51, 92.51]",92.0
best fit_MaxLifetime,100.0,0,100.0,"[100.0, 100.0]","[100.0, 100.0]","[100.0, 100.0]",100.0
data_MedianLifetime,80.0,0.5600000000000023,80.0,"[79.45, 80.56]","[79.45, 80.56]","[79.45, 80.56]",80.0
data_MaxLifetime,85,0,85,"[85, 85]","[85, 85]","[85, 85]",85
