,mean,std,mode,percentile_16,percentile_50,percentile_95,max_likelihood,mode_overall
xc/eta,1005096.301,"[213406.927, 176031.141]",990969.887,"[961637.422, 1021197.068]","[905551.495, 1084445.58]","[803002.217, 1753853.82]",880167.775,993575.181
beta/eta,38550.648,"[702.163, 689.602]",38475.146,"[38292.046, 38659.122]","[37928.456, 38659.122]","[36508.291, 39029.717]",38842.676,38757.218
xc^2/epsilon,571.545,"[108.834, 91.425]",564.274,"[547.96, 581.073]","[516.735, 616.187]","[433.334, 876.196]",490.282,574.209
xc,31.783,"[20.835, 12.585]",37.508,"[36.178, 38.887]","[33.658, 41.799]","[20.305, 48.292]",35.589,23.452
ExtH,7.155,"[0.351, 0.335]",6.973,"[6.963, 6.984]","[6.963, 7.007]","[6.897, 7.051]",7.802,6.98
eta,2.77e-05,"[6.66e-06, 5.37e-06]",2.6e-05,"[2.52e-05, 2.89e-05]","[2.52e-05, 3.33e-05]","[2.35e-05, 4.4e-05]",4.04e-05,2.36e-05
beta,1.044,"[0.246, 0.199]",0.979,"[0.947, 1.083]","[0.885, 1.238]","[0.828, 1.619]",1.571,0.915
epsilon,1.279,"[1.008, 0.564]",0.924,"[0.86, 0.992]","[0.745, 1.32]","[0.646, 4.143]",2.583,0.958
sqrt(xc/eta),1001.656,"[109.873, 99.012]",995.475,"[980.631, 1010.543]","[951.605, 1041.367]","[896.104, 1324.331]",938.173,996.782
s= eta^0.5*xc^1.5/epsilon,0.576,"[0.0543, 0.0496]",0.571,"[0.563, 0.58]","[0.546, 0.597]","[0.515, 0.653]",0.523,0.576
beta*xc/epsilon,22.145,"[0.901, 0.866]",21.652,"[21.363, 21.944]","[21.363, 22.54]","[20.248, 23.153]",21.637,22.399
eta*xc/epsilon,0.000569,"[1.17e-05, 1.15e-05]",0.000563,"[0.000557, 0.000568]","[0.000557, 0.00058]","[0.000546, 0.000591]",0.000557,0.000557
Fx=beta^2/eta*xc,1549.824,"[379.909, 305.116]",1566.64,"[1511.333, 1623.97]","[1406.509, 1623.97]","[1055.046, 2014.797]",1714.166,1714.166
Dx =beta*epsilon/eta*xc^2,70.918,"[15.696, 12.851]",66.772,"[64.651, 68.962]","[64.651, 73.561]","[53.267, 83.7]",79.225,79.225
Pk=beta*k/epsilon,0.352,"[0.287, 0.158]",0.274,"[0.261, 0.318]","[0.214, 0.35]","[0.131, 0.52]",0.304,0.478
Fk=beta^2/eta*k,90039.224,"[45028.087, 30016.841]",105242.515,"[101842.803, 116137.866]","[83630.576, 116137.866]","[68675.185, 132439.442]",122009.265,70911.803
Dk =beta*epsilon/eta*k^2,258913.268,"[408004.513, 158397.009]",523849.586,"[488904.401, 561292.532]","[370931.154, 644398.59]","[122905.345, 739809.492]",401368.673,148494.736
Fk^2/Dk=beta^3/eta*epsilon,31772.119,"[11428.894, 8405.363]",31856.079,"[30381.992, 33401.687]","[27635.294, 36721.511]","[14236.363, 40371.297]",37088.746,33863.044
epsilon/beta^2,1.178,"[0.355, 0.273]",1.157,"[1.109, 1.208]","[1.018, 1.315]","[0.935, 2.602]",1.047,1.145
k/beta,0.48,"[0.111, 0.0901]",0.51,"[0.462, 0.528]","[0.404, 0.564]","[0.289, 0.564]",0.318,0.547
k^2/epsilon,0.196,"[0.155, 0.0867]",0.27,"[0.252, 0.29]","[0.189, 0.335]","[0.0603, 0.386]",0.0968,0.261
best fit_MedianLifetime,27508.25,184.97999999999956,27508.25,"[27328.32, 27693.23]","[27328.32, 27693.23]","[27328.32, 27693.23]",27508.25,
best fit_MaxLifetime,38005.56,0,38005.56,"[38005.56, 38005.56]","[38005.56, 38005.56]","[38005.56, 38005.56]",38005.56,
data_MedianLifetime,24820.0,186.7599999999984,24820.0,"[24637.38, 25006.76]","[24637.38, 25006.76]","[24637.38, 25006.76]",24820.0,
data_MaxLifetime,38690.0,0,38690.0,"[38690.0, 38690.0]","[38690.0, 38690.0]","[38690.0, 38690.0]",38690.0,
