,mean,std,mode,percentile_16,percentile_50,percentile_95,max_likelihood
xc/eta,17.443,"[16.241, 8.41]",21.45,"[18.499, 23.675]","[13.097, 31.831]","[4.882, 57.542]",12.778
beta/eta,7.789,"[4.104, 2.688]",8.905,"[8.466, 9.366]","[6.918, 10.898]","[3.243, 15.518]",9.206
xc^2/epsilon,24.936,"[34.762, 14.52]",31.889,"[26.493, 36.084]","[16.159, 52.28]","[4.695, 116.74]",16.188
xc,45.557,"[176.89, 36.227]",34.344,"[29.364, 59.42]","[15.694, 177.872]","[3.03, 787.67]",82.303
eta,2.202,"[8.527, 1.75]",2.988,"[2.754, 5.724]","[1.691, 16.465]","[0.116, 29.082]",6.441
beta,17.024,"[65.533, 13.513]",22.61,"[16.835, 33.503]","[6.95, 73.559]","[1.073, 239.318]",59.295
epsilon,59.479,"[1346.824, 56.963]",184.432,"[133.608, 569.981]","[22.688, 2431.587]","[0.212, 12187.724]",418.446
sqrt(xc/eta),4.13,"[1.493, 1.097]",4.408,"[4.094, 4.631]","[3.531, 5.37]","[2.265, 7.22]",3.575
s= eta^0.5*xc^1.5/epsilon,5.836,"[3.907, 2.34]",6.104,"[5.664, 6.831]","[4.357, 8.88]","[2.219, 15.008]",4.528
beta*xc/epsilon,11.169,"[2.715, 2.184]",11.601,"[11.111, 11.601]","[10.642, 12.646]","[6.913, 17.104]",11.663
eta*xc/epsilon,1.408,"[0.32, 0.261]",1.411,"[1.355, 1.469]","[1.234, 1.636]","[0.968, 2.057]",1.267
Fx=beta^2/eta*xc,3.725,"[10.169, 2.726]",4.274,"[3.169, 4.963]","[1.743, 9.025]","[0.29, 46.742]",6.633
Dx =beta*epsilon/eta*xc^2,0.333,"[0.724, 0.228]",0.342,"[0.274, 0.427]","[0.158, 0.742]","[0.0374, 3.128]",0.569
Pk=beta*k/epsilon,0.121,"[0.665, 0.102]",0.0584,"[0.052, 0.117]","[0.0205, 0.334]","[0.00508, 3.843]",0.0709
Fk=beta^2/eta*k,239.582,"[1055.626, 195.265]",242.291,"[159.833, 319.732]","[91.785, 969.568]","[11.466, 4457.003]",1091.783
Dk =beta*epsilon/eta*k^2,1983.838,"[40063.022, 1890.238]",11504.045,"[6999.113, 26334.789]","[812.6, 71145.093]","[7.865, 315913.099]",15409.378
Fk^2/Dk=beta^3/eta*epsilon,29.679,"[155.659, 24.926]",50.593,"[34.655, 61.13]","[13.457, 130.287]","[0.788, 864.022]",77.355
best fit_MedianLifetime,11.2,0.5099999999999998,11.2,"[10.709999999999999, 11.709999999999999]","[10.709999999999999, 11.709999999999999]","[10.709999999999999, 11.709999999999999]",11.2
best fit_MaxLifetime,18.47,0,18.47,"[18.47, 18.47]","[18.47, 18.47]","[18.47, 18.47]",18.47
data_MedianLifetime,10.73,0.5299999999999994,10.73,"[10.26, 11.26]","[10.26, 11.26]","[10.26, 11.26]",10.73
data_MaxLifetime,19.0,0,19.0,"[19.0, 19.0]","[19.0, 19.0]","[19.0, 19.0]",19.0
