,mean,std,mode,percentile_16,percentile_50,percentile_95,max_likelihood
xc/eta,257650.964,"[125589.309, 84433.21]",253658.202,"[233277.538, 264506.838]","[197297.213, 326119.577]","[124466.656, 562109.318]",230664.558
beta/eta,6462.857,"[938.485, 819.486]",6430.955,"[6313.72, 6550.367]","[6085.622, 6922.072]","[5062.946, 7589.042]",6359.576
xc^2/epsilon,668.008,"[392.523, 247.243]",640.818,"[579.648, 673.782]","[474.268, 823.494]","[287.192, 1580.767]",569.531
xc,10.989,"[12.046, 5.747]",12.471,"[11.644, 15.323]","[7.201, 20.165]","[3.625, 45.956]",15.561
eta,4.04e-05,"[3.8e-05, 1.96e-05]",6.78e-05,"[6.04e-05, 7.6e-05]","[3.61e-05, 8.05e-05]","[1.22e-05, 0.000113]",6.75e-05
beta,0.265,"[0.223, 0.121]",0.318,"[0.302, 0.373]","[0.244, 0.54]","[0.0849, 0.667]",0.429
epsilon,0.157,"[0.448, 0.116]",0.264,"[0.234, 0.376]","[0.0907, 0.537]","[0.0136, 1.559]",0.425
sqrt(xc/eta),519.185,"[117.326, 95.7]",503.645,"[482.988, 514.302]","[444.182, 571.069]","[360.264, 781.805]",480.276
s= eta^0.5*xc^1.5/epsilon,1.35,"[0.42, 0.321]",1.265,"[1.193, 1.302]","[1.093, 1.552]","[0.84, 2.27]",1.186
beta*xc/epsilon,16.546,"[1.796, 1.62]",15.647,"[15.461, 15.836]","[15.095, 16.415]","[14.562, 19.411]",15.702
eta*xc/epsilon,0.0026,"[0.000192, 0.000179]",0.0025,"[0.00247, 0.00253]","[0.00243, 0.00263]","[0.00233, 0.003]",0.00247
Fx=beta^2/eta*xc,151.576,"[143.539, 73.724]",162.614,"[150.4, 175.82]","[110.054, 240.276]","[39.881, 415.036]",175.338
Dx =beta*epsilon/eta*xc^2,9.149,"[7.472, 4.113]",10.076,"[9.411, 10.788]","[7.162, 14.176]","[2.754, 24.476]",11.166
Pk=beta*k/epsilon,0.778,"[1.027, 0.443]",0.511,"[0.436, 0.6]","[0.371, 1.139]","[0.142, 2.746]",0.505
Fk=beta^2/eta*k,3556.257,"[2809.425, 1569.516]",5530.195,"[5223.186, 6199.411]","[3307.466, 6563.802]","[1055.347, 7790.592]",5456.852
Dk =beta*epsilon/eta*k^2,4573.49,"[11215.106, 3248.685]",9659.354,"[7747.755, 12042.601]","[2572.26, 13446.412]","[440.694, 32485.926]",10815.449
Fk^2/Dk=beta^3/eta*epsilon,2731.323,"[2809.286, 1384.878]",2775.94,"[2542.261, 3031.098]","[1952.768, 4308.832]","[679.786, 7974.229]",2753.213
best fit_MedianLifetime,4689.0,185.02000000000044,4689.0,"[4509.04, 4874.02]","[4509.04, 4874.02]","[4509.04, 4874.02]",4689.0
best fit_MaxLifetime,7102.86,0,7102.86,"[7102.86, 7102.86]","[7102.86, 7102.86]","[7102.86, 7102.86]",7102.86
data_MedianLifetime,4487.88,189.6899999999996,4487.88,"[4312.55, 4677.57]","[4312.55, 4677.57]","[4312.55, 4677.57]",4487.88
data_MaxLifetime,7065.12,0,7065.12,"[7065.12, 7065.12]","[7065.12, 7065.12]","[7065.12, 7065.12]",7065.12
