,mice_F,mice_M,yeast,celegance,ecoli,cats_BPH,humans_M_combined,drosophila_853,drosophila_707,drosophila_441,drosophila_217,humans_F_combined,Sweden_M_1910_hetro,Sweden_F_1910_homo,Sweden_F_1910_hetro,Denmark_M_1900,Denmark_M_1900_homo,Denmark_M_1890,Denmark_M_1890_homo,Denmark_F_1900,Denmark_F_1890,Staffy_vetCompass,Labradors_vetCompass,Jack_Russell_vetCompass,German_Shepherd_vetCompass
Fx=beta^2/eta*xc,14.716,1.103,0.00025,0.582,477.504,219.496,1714.166,21.85,0.188,3.06,0.00177,4483.132,1312.962,7927.305,6150.302,189.24,1991.874,1714.166,3497.351,2439.613,4483.132,190.459,175.338,675.196,6.633
Dx =beta*epsilon/eta*xc^2,1.23,0.221,0.00251,0.0434,44.378,22.399,79.225,1.952,0.0657,0.226,0.00223,185.649,59.938,370.72,207.99,10.242,115.879,79.225,215.068,106.011,185.649,13.113,11.166,44.72,0.569
Pk=beta*k/epsilon,0.0965,0.0174,0.00027,0.196,0.148,0.268,0.304,0.0417,0.000766,0.00733,0.000805,0.653,0.163,1.339,0.848,0.0884,0.641,0.304,0.208,0.177,0.653,1.121,0.505,0.955,0.0709
Fk=beta^2/eta*k,1825.116,317.365,0.0928,39.872,34795.45,8020.219,122009.265,5858.223,700.717,5651.809,1.748,165778.88,175967.444,126624.821,214384.314,39539.488,53378.965,122009.265,273841.95,318031.183,165778.88,2467.401,5456.852,10674.356,1091.783
Dk =beta*epsilon/eta*k^2,18916.972,18254.642,344.158,203.934,235647.041,29905.085,401368.673,140330.203,914991.867,771519.921,2171.961,253855.816,1076619.946,94587.272,252717.388,447114.351,83218.566,401368.673,1318551.994,1801554.676,253855.816,2200.807,10815.449,11176.942,15409.378
Fk^2/Dk=beta^3/eta*epsilon,176.088,5.518,2.5e-05,7.795,5137.868,2150.936,37088.746,244.557,0.537,41.403,0.00141,108260.813,28760.884,169513.773,181865.738,3496.58,34238.921,37088.746,56872.549,56142.528,108260.813,2766.288,2753.213,10194.369,77.355
beta^2/epsilon,0.213,0.0129,0.00052,1.08,892.706,0.191,0.955,5.216,0.0775,1.317,0.00138,2.534,0.761,2.942,4.287,0.108,0.692,0.955,1.122,1.399,2.534,0.366,0.433,1.057,0.023
k/beta,0.452,1.35,0.518,0.181,0.000165,1.407,0.318,0.008,0.00988,0.00556,0.583,0.258,0.215,0.455,0.198,0.822,0.927,0.318,0.185,0.126,0.258,3.062,1.165,0.903,3.078
k/epsilon,0.0872,0.0469,0.000279,0.0708,4.88e-05,0.755,0.194,0.000668,1.51e-05,8.15e-05,0.000938,0.337,0.0702,1.218,0.336,0.145,1.19,0.194,0.0769,0.0445,0.337,6.867,1.176,1.726,0.436
best fit_MedianLifetime,885.78,746.25,3.37,18.39,2.84,3774.85,26086.66,46.37,23.06,49.81,31.79,26656.9,27106.67,27588.57,29251.11,26022.4,24729.32,26175.01,24504.43,27556.44,25548.54,4578.02,4677.32,5070.13,4082.98
best fit_MaxLifetime,1445.09,1479.9,8.28,27.81,5.17,9125.0,38953.29,77.78,48.11,77.36,57.05,39226.37,38688.25,40150.0,39475.35,38632.03,40150.0,38158.16,40150.0,39121.95,39764.48,7300.0,6961.21,7300.0,6676.46
data_MedianLifetime,882.0,770.0,3.38,18.46,2.84,5110.0,26645.0,47.0,22.0,49.0,31.0,29200.0,26645.0,29200.0,29200.0,25550.0,25550.0,24820.0,24820.0,27375.0,25915.0,4402.98,4487.88,4943.61,3915.32
data_MaxLifetime,1456.0,1338.0,9.38,35.38,5.74,5840.0,38690.0,66.0,47.0,82.0,53.0,39785.0,38690.0,39785.0,39785.0,37960.0,37960.0,38690.0,38690.0,38690.0,39420.0,7253.03,7065.12,7788.62,6935.21
ExtH,,,,,,4.089,7.802,,,,,6.093,5.941,6.188,6.163,6.693,7.131,7.802,6.96,6.733,6.093,,,,
