,mean,std,mode,percentile_16,percentile_50,percentile_95,max_likelihood
xc/eta,9.03,"[8.268, 4.316]",8.153,"[7.009, 9.485]","[5.846, 14.486]","[2.506, 31.805]",13.718
beta/eta,107.142,"[30.927, 23.999]",104.835,"[99.823, 110.098]","[87.599, 121.431]","[65.291, 173.916]",92.849
xc^2/epsilon,0.987,"[0.983, 0.493]",0.798,"[0.732, 0.978]","[0.58, 1.467]","[0.273, 3.708]",1.462
xc,5.507,"[8.058, 3.271]",6.274,"[5.196, 7.575]","[2.445, 8.808]","[1.067, 34.221]",8.083
eta,0.582,"[0.685, 0.315]",0.713,"[0.634, 0.865]","[0.503, 1.378]","[0.124, 2.031]",0.589
beta,64.905,"[67.292, 33.039]",162.19,"[129.33, 167.521]","[72.254, 167.521]","[16.32, 167.521]",54.709
epsilon,25.122,"[96.644, 19.939]",12.277,"[9.802, 20.76]","[8.436, 80.139]","[1.199, 563.867]",44.674
sqrt(xc/eta),2.993,"[1.181, 0.847]",2.77,"[2.569, 2.988]","[2.208, 3.476]","[1.583, 5.813]",3.704
s= eta^0.5*xc^1.5/epsilon,0.328,"[0.15, 0.103]",0.288,"[0.266, 0.312]","[0.227, 0.366]","[0.176, 0.691]",0.395
beta*xc/epsilon,11.761,"[3.068, 2.433]",10.936,"[10.379, 11.523]","[9.68, 12.793]","[7.853, 19.437]",9.898
eta*xc/epsilon,0.11,"[0.00733, 0.00687]",0.107,"[0.105, 0.109]","[0.104, 0.113]","[0.0982, 0.126]",0.107
Fx=beta^2/eta*xc,1062.637,"[2097.576, 705.32]",1145.959,"[837.764, 1382.921]","[575.261, 2282.827]","[127.891, 10268.325]",628.438
Dx =beta*epsilon/eta*xc^2,94.517,"[137.167, 55.958]",102.371,"[89.38, 128.353]","[56.856, 184.321]","[17.538, 545.856]",63.488
Pk=beta*k/epsilon,1.264,"[2.695, 0.861]",1.047,"[0.803, 1.365]","[0.649, 3.192]","[0.132, 10.262]",0.612
Fk=beta^2/eta*k,14258.222,"[15851.711, 7506.401]",22025.054,"[19394.796, 25012.019]","[13816.579, 32256.13]","[3003.443, 41598.318]",10159.272
Dk =beta*epsilon/eta*k^2,11524.004,"[34961.064, 8667.115]",10831.894,"[6790.288, 13232.005]","[4550.36, 33671.16]","[702.718, 166965.969]",16591.839
Fk^2/Dk=beta^3/eta*epsilon,17203.846,"[49115.17, 12740.989]",17891.771,"[14070.802, 26702.02]","[7414.7, 43173.082]","[1273.427, 251381.024]",6220.577
best fit_MedianLifetime,29.03,0.5100000000000016,29.03,"[28.540000000000003, 29.540000000000003]","[28.540000000000003, 29.540000000000003]","[28.540000000000003, 29.540000000000003]",29.03
best fit_MaxLifetime,60.0,0,60.0,"[60.0, 60.0]","[60.0, 60.0]","[60.0, 60.0]",60.0
data_MedianLifetime,32.0,0.509999999999998,32.0,"[31.55, 32.51]","[31.55, 32.51]","[31.55, 32.51]",32.0
data_MaxLifetime,53.0,0,53.0,"[53.0, 53.0]","[53.0, 53.0]","[53.0, 53.0]",53.0
