,Unnamed: 0,t,counts
0,0,-1.0,3385458.609237915
1,1,-1.0,1783017.361769772
2,2,-1.0,1793436.5723751509
3,3,-1.0,1140064.6928943165
4,4,0.0,992012.9723877434
5,5,-1.0,704766.9920672202
6,6,-1.0,295858.1381161267
7,7,-1.0,253533.86298035493
8,8,-1.0,114145.31183241624
9,9,-1.0,83077.41284871765
10,10,-1.0,66450.94080520012
11,11,-1.0,43404.48720349598
12,12,-1.0,38220.45465476631
13,13,-1.0,37076.61028829056
14,14,-1.0,26951.39993581488
15,15,-1.0,20702.250506876226
16,16,-1.0,20702.250506876226
17,17,-1.0,18550.31906525105
18,18,-1.0,21031.87005697307
19,19,-1.0,51808.86399855552
20,20,-1.0,60371.65221756927
21,21,-1.0,88385.43569272176
22,22,-1.0,126870.98500498022
23,23,-1.0,198489.86678066384
24,24,-1.0,253304.1750855242
25,25,-1.0,175327.13362825385
26,26,-1.0,186851.5217590368
27,27,-1.0,343034.8149729279
28,28,-1.0,559865.1292043555
29,29,-1.0,492869.7606749091
30,30,-1.0,494659.8660031188
31,31,0.0,453340.9032857453
32,32,2.0,441561.3186170301
33,33,2.0,354504.0346499146
34,34,2.0,307271.3518719044
35,35,0.0,366799.72325471154
36,36,0.0,351912.49732289684
37,37,-1.0,389646.4289860186
38,38,-1.0,387533.2292831272
39,39,-1.0,348616.9365974733
40,40,-1.0,348631.9831668259
41,41,-1.0,303541.09656469576
42,42,0.0,309681.1337033912
43,43,0.0,309681.1337033912
44,44,0.0,293112.81086717075
45,45,0.0,261841.0871960148
46,46,-1.0,258193.8967458193
47,47,-1.0,236606.5232940629
48,48,-1.0,209420.1555847941
49,49,-1.0,196834.84847913013
50,50,-1.0,216272.62711721155
51,51,-1.0,216272.62711721155
52,52,0.0,137143.93866295443
53,53,-1.0,153887.9260025967
54,54,-1.0,153887.9260025967
55,55,-1.0,185958.5054835014
56,56,-1.0,199960.2065068273
57,57,-1.0,199960.2065068273
58,58,-1.0,242279.8017838338
59,59,0.0,229297.7396333416
60,60,0.0,229297.7396333416
61,61,6.0,123063.4246763577
62,62,8.0,104814.11995470496
63,63,8.0,121391.17797632518
64,64,8.0,138058.5173331646
65,65,8.0,155738.73922227713
66,66,6.0,200037.89381505712
67,67,6.0,192566.1739390049
68,68,6.0,214441.56770590908
69,69,8.0,329837.353877199
70,70,8.0,329837.353877199
71,71,6.0,422143.1032266406
72,72,8.0,390370.2344423957
73,73,8.0,290142.4000556524
74,74,10.0,388119.0769315946
75,75,12.0,320920.4199482543
76,76,14.0,344518.5466774396
77,77,14.0,256572.04607057024
78,78,14.0,232075.54003018595
79,79,12.0,271180.2034131319
80,80,12.0,249226.7056920897
81,81,12.0,188585.31461369368
82,82,12.0,154286.9489546569
83,83,14.0,116022.79893166931
84,84,14.0,102130.29935084784
85,85,14.0,47479.21782477491
86,86,16.0,38093.64720630724
87,87,18.0,44693.37079778058
88,88,18.0,42428.38525357666
89,89,18.0,42428.38525357666
90,90,16.0,140226.40982688277
91,91,16.0,140226.40982688277
92,92,16.0,180876.58625622367
93,93,16.0,191282.249454868
94,94,16.0,207584.3876085628
95,95,18.0,170506.31248564573
96,96,18.0,152901.47670752762
