,Unnamed: 0,t,counts
97,97,18.0,139658.66049480968
98,98,18.0,100403.9263222392
99,99,20.0,98421.71650463514
100,100,20.0,111944.94887275912
101,101,20.0,159741.65109582484
102,102,20.0,151338.9061444578
103,103,20.0,144839.7842436444
104,104,22.0,299506.9029510381
105,105,22.0,230707.35057973544
106,106,22.0,136789.25163574197
107,107,22.0,84948.34159356951
108,108,20.0,84743.27361978753
109,109,20.0,27893.409976035164
110,110,20.0,24645.839225633023
111,111,20.0,20734.441704485474
112,112,20.0,18049.60250310357
113,113,24.0,25864.22584098748
114,114,26.0,28175.32789594633
115,115,26.0,33606.22801805409
116,116,24.0,41596.13456519316
117,117,24.0,54494.58859555645
118,118,24.0,54494.58859555645
119,119,24.0,56282.573119993926
120,120,24.0,66230.47052750929
121,121,24.0,72855.69339958235
122,122,24.0,72755.14081445409
123,123,22.0,102214.08428323144
124,124,24.0,182862.4790212357
125,125,26.0,252714.504108056
126,126,28.0,347805.3854665224
127,127,26.0,170168.13328888355
128,128,26.0,71122.05614549696
129,129,26.0,79729.6509366374
130,130,26.0,110423.78552280262
131,131,24.0,86107.41337441702
132,132,26.0,120192.11825754531
133,133,30.0,110605.03720708736
134,134,30.0,117687.10561660772
135,135,28.0,63408.14843065165
136,136,28.0,64942.54255452242
137,137,28.0,38279.88598123482
138,138,28.0,32355.17329800292
139,139,28.0,27839.28819406739
140,140,28.0,17091.301477375666
141,141,28.0,11017.24340459748
142,142,28.0,13117.625511379898
143,143,28.0,22150.80534057923
144,144,28.0,25236.789583190777
145,145,28.0,27774.480654768544
146,146,30.0,13972.01559866255
147,147,28.0,12133.460756922352
148,148,30.0,7591.875712667519
149,149,32.0,3170.573060213904
150,150,30.0,4720.990070945911
151,151,30.0,4923.042456153207
152,152,30.0,18048.04453511261
153,153,30.0,9959.340015258793
154,154,30.0,27036.448730643457
155,155,30.0,42081.8796426965
156,156,30.0,44902.18453972964
157,157,30.0,18489.5709885028
158,158,30.0,19991.87856130521
159,159,30.0,23056.00297740491
160,160,32.0,50696.24598795424
161,161,32.0,71754.11931632653
162,162,32.0,405219.4828296035
163,163,32.0,97875.26471777244
164,164,32.0,80848.9153771456
165,165,32.0,67337.27915037393
166,166,32.0,58747.15072934666
167,167,32.0,49620.36990982166
168,168,32.0,39631.5328021752
169,169,32.0,36322.6765819325
170,170,32.0,31867.340213580406
171,171,32.0,25045.813941852422
172,172,32.0,20798.974345735165
173,173,32.0,14938.040399445405
174,174,32.0,10354.257675898558
175,175,34.0,13990.118206564624
176,176,34.0,11395.432393083824
177,177,34.0,15035.062593024528
178,178,32.0,18246.19887784287
179,179,32.0,31570.27414891291
180,180,32.0,46439.53331365242
181,181,34.0,57191.04011887359
182,182,34.0,89850.85179197026
183,183,34.0,134686.1229726221
184,184,36.0,201989.9164208104
185,185,36.0,123393.17218186916
186,186,36.0,87796.13061070387
187,187,36.0,44997.24556586875
188,188,34.0,35593.28973459632
189,189,36.0,31212.59794410848
190,190,36.0,27952.462251598605
191,191,36.0,17873.628942758063
192,192,36.0,15987.407884271304
193,193,36.0,13333.962568998726
194,194,36.0,9718.157349759036
195,195,34.0,10414.314154235431
196,196,36.0,6707.390669865975
197,197,36.0,5174.450544014295
198,198,36.0,31027.24651352311
199,199,36.0,26288.51166274943
200,200,36.0,8606.728581728918
201,201,36.0,173.36769548963957
202,202,38.0,375.9450465339656
203,203,38.0,2432.794325640085
204,204,40.0,1055.6047060587098
205,205,40.0,4040.563745269834
206,206,38.0,6632.830325161583
207,207,38.0,10383.346173233942
208,208,38.0,23734.497208743105
209,209,38.0,28791.199516818488
210,210,38.0,35176.36816885775
211,211,38.0,44975.88783234326
212,212,38.0,49951.27576224136
213,213,38.0,57736.66452970295
214,214,40.0,50707.18737304415
215,215,40.0,44404.961697624414
216,216,40.0,19904.92079331011
217,217,40.0,18229.66881373373
218,218,40.0,14562.45602964682
219,219,40.0,12376.759814983776
220,220,40.0,10921.609436782965
221,221,40.0,11649.044001070031
222,222,40.0,16972.95028883793
223,223,40.0,32289.60697726804
224,224,40.0,8030.708675467458
225,225,40.0,3530.5957417518603
226,226,40.0,2999.9075060172736
227,227,40.0,2552.620722573096
228,228,42.0,1791.239634075555
229,229,40.0,2343.948168519174
230,230,40.0,1420.992359746171
231,231,42.0,829.99999842803
232,232,42.0,675.684324278671
233,233,40.0,456.1593219218536
234,234,42.0,296.7482095302529
235,235,44.0,110.94736233249655
236,236,44.0,302.9861314572222
237,237,42.0,762.0501847283201
238,238,42.0,886.7735977449057
239,239,42.0,1693.7970517482745
240,240,42.0,3181.9512613225484
241,241,42.0,2927.764954306611
242,242,42.0,4943.909362982992
243,243,42.0,5694.031278308181
244,244,42.0,8894.490804382165
245,245,42.0,25436.90522898514
246,246,44.0,28256.92063192901
247,247,44.0,28256.92063192901
248,248,44.0,44633.6130885753
249,249,44.0,44633.6130885753
250,250,46.0,30526.479450218623
251,251,44.0,23328.263233128444
252,252,44.0,20286.533642071023
253,253,44.0,20286.533642071023
254,254,44.0,15928.176702530443
255,255,44.0,13959.357712210329
256,256,44.0,12395.470199243353
257,257,44.0,6280.404793655015
258,258,44.0,5445.038936774757
259,259,44.0,5073.608397705523
260,260,44.0,4077.352112105638
261,261,44.0,3322.003664733324
262,262,44.0,1813.64374720732
263,263,44.0,1968.0426757023283
264,264,44.0,1215.0859328698946
265,265,44.0,315.0140346936672
266,266,46.0,300.91403384792926
267,267,46.0,453.6462374162341
268,268,46.0,696.529749516647
269,269,46.0,1056.3339131752675
270,270,46.0,1239.0228442345206
271,271,44.0,1264.740692507866
272,272,44.0,1407.806685454396
273,273,44.0,1788.3042777045234
274,274,44.0,2430.8001630008944
275,275,44.0,2978.7485009670577
276,276,44.0,4965.936245684628
277,277,44.0,7123.326306812232
278,278,44.0,8906.783599554688
279,279,44.0,20073.1508265543
280,280,44.0,15914.43348975932
281,281,46.0,7248.309013878503
282,282,46.0,6387.289027876339
283,283,44.0,5052.194066261984
284,284,44.0,4419.884176885364
285,285,44.0,4038.9945399802127
286,286,44.0,3119.401308325974
287,287,44.0,3408.5649529126545
288,288,46.0,2294.9971610509306
289,289,46.0,3488.186145895608
290,290,44.0,1881.1707271358468
291,291,44.0,1721.8799304379352
292,292,46.0,300.29128413396813
293,293,46.0,492.9250714221526
294,294,46.0,698.9992089324749
295,295,46.0,1172.9866951370373
296,296,46.0,1291.8841666397852
297,297,46.0,1504.55786208768
298,298,46.0,3193.232472941192
299,299,46.0,5434.943011048636
300,300,46.0,6287.456339226784
301,301,46.0,8023.779587468809
302,302,46.0,14476.603816570763
303,303,46.0,12645.114521607931
304,304,46.0,7780.960502142175
305,305,46.0,6785.131511359792
306,306,48.0,2771.125916043516
307,307,48.0,2771.125916043516
308,308,48.0,1207.818193101481
309,309,46.0,395.4336973298044
310,310,48.0,339.20109291621753
311,311,50.0,176.93566325737098
312,312,52.0,160.97775273194512
313,313,52.0,160.97775273194512
314,314,50.0,346.01765630070645
315,315,52.0,487.088127609785
316,316,50.0,842.7785878183734
317,317,52.0,1825.186977821971
318,318,50.0,1083.6716542072108
319,319,50.0,929.768870256178
320,320,48.0,1046.170695361629
