,Eta,Beta,Epsilon,Xc,Beta/Eta,Beta*Xc/Eps,Fx=Beta^2/(Eta*Xc),Dx=Beta*Eps/(Eta*Xc^2),Xc^2/Eps,Beta*Kappa/Eps,Fk=Beta^2/(Eta*Kappa),Dk=Beta*Eps/(Eta*Kappa^2),s=(Xc^1.5*Eta^0.5)/Eps,Slope=Eta*Xc/Eps,Xc/Eps,Fk/Dk,Fk^2/Dk,t_eta,Median Lifetime
Best fit,0.12,4.51,22.62,121.11,38.12,24.17,1.42,0.059,648.47,0.1,344.23,3449.28,20.28,0.63,5.35,0.1,34.35,31.98,77.0
Median,0.34,28.1,26.32,28.39,81.27,20.74,68.58,3.49,23.29,0.36,4590.85,9858.89,2.37,0.24,0.72,0.36,1356.99,9.78,77.0
Mean,0.38,37.58,53.64,43.52,87.15,21.31,788.11,32.18,103.0,0.84,8430.93,17000.31,4.56,0.29,1.63,0.84,19718.97,11.89,77.0
Std,0.23,32.87,70.14,42.55,33.78,2.52,2292.38,83.6,241.65,1.36,10899.22,20597.42,6.12,0.14,2.96,1.36,64154.06,8.43,0.52
Median absolute deviation,0.16,17.28,15.87,19.73,17.39,1.59,62.36,3.23,20.76,0.23,3305.71,5934.99,1.57,0.064,0.42,0.23,1200.57,4.6,0.52
