smurf times,smurf dt,death times,death dt,events
12.0,0.125,12.0,0.125,1
12.0,0.125,12.0,0.75,1
12.0,0.125,12.0,0.75,1
12.0,0.125,12.0,0.75,1
12.0,0.125,12.0,0.75,1
12.0,0.125,12.0,0.75,1
12.0,0.125,12.0,0.08333333333333333,1
12.0,0.125,12.0,0.08333333333333333,1
12.0,0.125,12.0,0.08333333333333333,1
12.0,0.125,12.0,0.08333333333333333,1
12.0,0.125,12.0,0.08333333333333333,1
12.0,0.125,12.0,0.08333333333333333,1
12.0,0.125,12.0,0.08333333333333333,1
12.0,0.125,12.0,0.08333333333333333,1
12.0,0.125,12.0,0.08333333333333333,1
12.0,0.125,12.0,0.08333333333333333,1
12.0,0.125,12.0,0.08333333333333333,1
12.0,0.125,13.0,0.9166666666666666,1
12.0,0.125,13.0,0.9166666666666666,1
12.0,0.125,13.0,0.9166666666666666,1
12.0,0.125,13.0,0.9166666666666666,1
12.0,0.125,13.0,0.9166666666666666,1
12.0,0.125,13.0,0.9166666666666666,1
12.0,0.125,14.0,0.41666666666666663,1
12.0,0.125,14.0,0.41666666666666663,1
12.0,0.75,14.0,0.41666666666666663,1
12.0,0.75,14.0,0.41666666666666663,1
12.0,0.75,14.0,0.41666666666666663,1
12.0,0.75,14.0,0.41666666666666663,1
12.0,0.75,14.0,0.41666666666666663,1
12.0,0.75,14.0,0.41666666666666663,1
12.0,0.75,14.0,0.5833333333333333,1
12.0,0.75,14.0,0.5833333333333333,1
12.0,0.75,14.0,0.5833333333333333,1
12.0,0.75,14.0,0.5833333333333333,1
12.0,0.75,14.0,0.5833333333333333,1
12.0,0.08333333333333333,14.0,0.5833333333333333,1
12.0,0.08333333333333333,14.0,0.5833333333333333,1
12.0,0.08333333333333333,14.0,0.5833333333333333,1
12.0,0.08333333333333333,14.0,0.5833333333333333,1
12.0,0.08333333333333333,14.0,0.5833333333333333,1
12.0,0.08333333333333333,14.0,0.5833333333333333,1
12.0,0.08333333333333333,15.0,0.41666666666666663,1
12.0,0.08333333333333333,15.0,0.41666666666666663,1
12.0,0.08333333333333333,15.0,0.41666666666666663,1
12.0,0.08333333333333333,15.0,0.41666666666666663,1
12.0,0.08333333333333333,15.0,0.41666666666666663,1
12.0,0.08333333333333333,15.0,0.41666666666666663,1
12.0,0.08333333333333333,15.0,0.41666666666666663,1
12.0,0.08333333333333333,15.0,0.41666666666666663,1
13.0,0.9166666666666666,15.0,0.41666666666666663,1
13.0,0.9166666666666666,15.0,0.41666666666666663,1
13.0,0.9166666666666666,15.0,0.41666666666666663,1
13.0,0.9166666666666666,15.0,0.41666666666666663,1
13.0,0.9166666666666666,15.0,0.41666666666666663,1
13.0,0.9166666666666666,15.0,0.41666666666666663,1
14.0,0.41666666666666663,15.0,0.41666666666666663,1
14.0,0.41666666666666663,15.0,0.41666666666666663,1
14.0,0.41666666666666663,15.0,0.41666666666666663,1
14.0,0.41666666666666663,16.0,0.7083333333333333,1
14.0,0.41666666666666663,16.0,0.7083333333333333,1
14.0,0.41666666666666663,16.0,0.7083333333333333,1
14.0,0.41666666666666663,16.0,0.7083333333333333,1
14.0,0.41666666666666663,16.0,0.7083333333333333,1
14.0,0.41666666666666663,16.0,0.7083333333333333,1
14.0,0.41666666666666663,16.0,0.7083333333333333,1
14.0,0.5833333333333333,16.0,0.7083333333333333,1
14.0,0.5833333333333333,16.0,0.29166666666666663,1
14.0,0.5833333333333333,16.0,0.29166666666666663,1
14.0,0.5833333333333333,16.0,0.29166666666666663,1
14.0,0.5833333333333333,16.0,0.29166666666666663,1
14.0,0.5833333333333333,16.0,0.29166666666666663,1
14.0,0.5833333333333333,16.0,0.29166666666666663,1
14.0,0.5833333333333333,16.0,0.29166666666666663,1
14.0,0.5833333333333333,16.0,0.29166666666666663,1
14.0,0.5833333333333333,16.0,0.29166666666666663,1
14.0,0.5833333333333333,16.0,0.29166666666666663,1
14.0,0.5833333333333333,16.0,0.29166666666666663,1
14.0,0.5833333333333333,16.0,0.29166666666666663,1
14.0,0.5833333333333333,16.0,0.29166666666666663,1
14.0,0.5833333333333333,16.0,0.29166666666666663,1
14.0,0.5833333333333333,16.0,0.29166666666666663,1
14.0,0.5833333333333333,16.0,0.29166666666666663,1
15.0,0.41666666666666663,16.0,0.29166666666666663,1
15.0,0.41666666666666663,16.0,0.29166666666666663,1
15.0,0.41666666666666663,16.0,0.29166666666666663,1
15.0,0.41666666666666663,16.0,0.29166666666666663,1
15.0,0.41666666666666663,16.0,0.29166666666666663,1
15.0,0.41666666666666663,16.0,0.29166666666666663,1
15.0,0.41666666666666663,16.0,0.29166666666666663,1
15.0,0.41666666666666663,16.0,0.29166666666666663,1
15.0,0.41666666666666663,16.0,0.29166666666666663,1
15.0,0.41666666666666663,16.0,0.29166666666666663,1
15.0,0.41666666666666663,16.0,0.29166666666666663,1
15.0,0.41666666666666663,16.0,0.29166666666666663,1
15.0,0.41666666666666663,16.0,0.29166666666666663,1
15.0,0.41666666666666663,16.0,0.29166666666666663,1
15.0,0.41666666666666663,16.0,0.29166666666666663,1
15.0,0.41666666666666663,16.0,0.29166666666666663,1
15.0,0.41666666666666663,16.0,0.29166666666666663,1
16.0,0.7083333333333333,16.0,0.29166666666666663,1
16.0,0.7083333333333333,16.0,0.29166666666666663,1
16.0,0.7083333333333333,16.0,0.29166666666666663,1
16.0,0.7083333333333333,16.0,0.29166666666666663,1
16.0,0.7083333333333333,16.0,0.29166666666666663,1
16.0,0.7083333333333333,16.0,0.29166666666666663,1
16.0,0.7083333333333333,16.0,0.29166666666666663,1
16.0,0.7083333333333333,16.0,0.29166666666666663,1
16.0,0.7083333333333333,16.0,0.29166666666666663,1
16.0,0.7083333333333333,16.0,0.29166666666666663,1
16.0,0.7083333333333333,16.0,0.29166666666666663,1
16.0,0.29166666666666663,16.0,0.29166666666666663,1
16.0,0.29166666666666663,16.0,0.29166666666666663,1
16.0,0.29166666666666663,16.0,0.29166666666666663,1
