,Eta,Beta,Epsilon,Xc,Beta/Eta,Beta*Xc/Eps,Fx=Beta^2/(Eta*Xc),Dx=Beta*Eps/(Eta*Xc^2),Xc^2/Eps,Beta*Kappa/Eps,Fk=Beta^2/(Eta*Kappa),Dk=Beta*Eps/(Eta*Kappa^2),s=(Xc^1.5*Eta^0.5)/Eps,Slope=Eta*Xc/Eps,Xc/Eps,Fk/Dk,Fk^2/Dk,Median Lifetime
Best fit,0.93,103.32,134.55,22.38,111.55,17.18,514.99,29.97,3.72,0.38,23049.31,60033.83,0.76,0.15,0.17,0.38,8849.53,71.0
Median,0.67,72.47,86.54,20.41,108.48,17.2,384.9,22.4,4.83,0.42,15707.04,37455.76,0.88,0.16,0.24,0.42,6614.55,71.0
Mean,0.68,73.78,89.02,20.56,108.47,17.2,393.91,22.87,4.92,0.43,16057.01,38678.06,0.88,0.16,0.24,0.43,6784.98,71.0
Std,0.12,14.2,24.58,2.58,2.91,0.18,84.55,4.77,0.91,0.058,3389.39,10922.02,0.089,0.0034,0.047,0.058,1499.63,1.0
Median absolute deviation,0.074,8.85,14.18,1.47,1.86,0.11,52.15,2.97,0.56,0.032,2113.81,6253.93,0.057,0.0022,0.029,0.032,927.29,1.0
