,Eta,Beta,Epsilon,Xc,Beta/Eta,Beta*Xc/Eps,Fx=Beta^2/(Eta*Xc),Dx=Beta*Eps/(Eta*Xc^2),Xc^2/Eps,Beta*Kappa/Eps,Fk=Beta^2/(Eta*Kappa),Dk=Beta*Eps/(Eta*Kappa^2),s=(Xc^1.5*Eta^0.5)/Eps,Slope=Eta*Xc/Eps,Xc/Eps,Fk/Dk,Fk^2/Dk,Median Lifetime
Best fit,0.09,0.024,19.05,51.86,0.27,0.065,0.00012,0.0019,141.15,0.00063,0.013,20.34,5.87,0.24,2.72,0.00063,8e-06,27.0
Median,0.07,0.026,11.28,40.12,0.38,0.095,0.00025,0.0027,142.52,0.0011,0.02,16.78,5.96,0.25,3.55,0.0011,2.4e-05,27.0
Mean,0.073,0.034,13.44,41.53,0.46,0.12,0.00062,0.0033,142.29,0.0015,0.05,24.05,5.96,0.25,3.68,0.0015,0.00015,27.0
Std,0.024,0.029,16.81,13.72,0.36,0.091,0.00098,0.0026,2.16,0.0014,0.083,33.84,0.062,0.0027,1.17,0.0014,0.0004,0.51
Median absolute deviation,0.0086,0.016,2.69,4.79,0.22,0.055,0.00023,0.0015,1.33,0.00069,0.018,10.28,0.042,0.0018,0.42,0.00069,2.4e-05,0.51
