,Eta,Beta,Epsilon,Xc,Beta/Eta,Beta*Xc/Eps,Fx=Beta^2/(Eta*Xc),Dx=Beta*Eps/(Eta*Xc^2),Xc^2/Eps,Beta*Kappa/Eps,Fk=Beta^2/(Eta*Kappa),Dk=Beta*Eps/(Eta*Kappa^2),s=(Xc^1.5*Eta^0.5)/Eps,Slope=Eta*Xc/Eps,Xc/Eps,Fk/Dk,Fk^2/Dk,Median Lifetime
Best fit,0.22,2.1,19.68,76.37,9.59,8.15,0.26,0.032,296.31,0.053,40.3,755.0,15.87,0.85,3.88,0.053,2.15,32.0
Median,0.075,0.6,2.13,24.15,8.89,7.8,0.22,0.028,320.75,0.13,11.52,59.2,16.72,0.87,11.08,0.13,1.69,32.0
Mean,0.098,1.02,5.77,34.02,9.7,7.42,0.81,0.065,324.7,0.24,30.77,212.37,16.21,0.84,14.8,0.24,10.5,32.0
Std,0.073,1.26,8.15,26.35,7.12,4.65,1.7,0.11,156.06,0.31,51.6,416.39,5.16,0.11,12.76,0.31,27.69,0.56
Median absolute deviation,0.037,0.5,1.69,12.75,5.95,4.1,0.21,0.025,144.31,0.11,11.38,51.94,4.58,0.075,5.59,0.11,1.69,0.56
