,Eta,Beta,Epsilon,Xc,Beta/Eta,Beta*Xc/Eps,Fx=Beta^2/(Eta*Xc),Dx=Beta*Eps/(Eta*Xc^2),Xc^2/Eps,Beta*Kappa/Eps,Fk=Beta^2/(Eta*Kappa),Dk=Beta*Eps/(Eta*Kappa^2),s=(Xc^1.5*Eta^0.5)/Eps,Slope=Eta*Xc/Eps,Xc/Eps,Fk/Dk,Fk^2/Dk,t_eta,Median Lifetime
Best fit,0.13,3.69,21.57,122.79,28.98,21.02,0.87,0.041,698.96,0.086,214.03,2500.65,22.52,0.73,5.69,0.086,18.32,31.04,69.0
Median,0.12,4.65,16.29,80.81,37.92,21.79,2.23,0.099,382.25,0.14,356.32,2399.18,15.02,0.59,4.86,0.14,50.1,25.39,69.0
Mean,0.15,6.28,25.44,85.95,38.18,22.35,5.14,0.27,458.34,0.2,571.68,4393.17,16.23,0.61,5.23,0.2,403.6,25.44,69.0
Std,0.087,6.16,31.03,30.42,10.57,122.13,50.15,3.23,327.79,8.16,1098.62,6654.54,10.17,1.69,5.27,8.16,42148.14,6.31,0.5
Median absolute deviation,0.027,1.73,5.47,15.68,6.57,1.27,1.31,0.058,177.58,0.032,178.43,1043.92,4.89,0.1,1.86,0.032,30.45,4.1,0.5
