,Eta,Beta,Epsilon,Xc,Beta/Eta,Beta*Xc/Eps,Fx=Beta^2/(Eta*Xc),Dx=Beta*Eps/(Eta*Xc^2),Xc^2/Eps,Beta*Kappa/Eps,Fk=Beta^2/(Eta*Kappa),Dk=Beta*Eps/(Eta*Kappa^2),s=(Xc^1.5*Eta^0.5)/Eps,Slope=Eta*Xc/Eps,Xc/Eps,Fk/Dk,Fk^2/Dk,t_eta,Median Lifetime
Best fit,0.093,2.43,12.6,123.63,26.24,23.86,0.52,0.022,1213.1,0.097,127.66,1322.62,33.21,0.91,9.81,0.097,12.32,36.53,73.0
Median,0.12,4.87,14.79,86.64,41.31,27.18,2.38,0.086,476.77,0.16,411.38,2354.8,17.83,0.67,5.7,0.16,66.12,26.79,73.0
Mean,0.14,6.13,22.02,92.29,41.69,26.55,4.71,0.28,589.71,0.16,588.52,4028.82,19.59,0.69,6.22,0.16,105.84,27.08,73.0
Std,0.074,4.61,28.61,32.98,78.23,4.29,114.55,15.62,446.53,0.16,2226.8,8189.21,9.45,0.17,3.69,0.16,863.59,6.49,0.5
Median absolute deviation,0.025,1.68,4.5,16.26,6.55,0.87,1.37,0.048,214.2,0.033,193.52,963.6,5.46,0.1,2.03,0.033,38.74,4.15,0.5
