,Eta,Beta,Epsilon,Xc,Beta/Eta,Beta*Xc/Eps,Fx=Beta^2/(Eta*Xc),Dx=Beta*Eps/(Eta*Xc^2),Xc^2/Eps,Beta*Kappa/Eps,Fk=Beta^2/(Eta*Kappa),Dk=Beta*Eps/(Eta*Kappa^2),s=(Xc^1.5*Eta^0.5)/Eps,Slope=Eta*Xc/Eps,Xc/Eps,Fk/Dk,Fk^2/Dk,t_eta,Median Lifetime
Best fit,0.73,93.88,101.41,18.89,129.28,17.49,642.51,36.75,3.52,0.46,24272.44,52441.86,0.69,0.14,0.19,0.46,11234.37,5.1,85.0
Median,0.77,100.5,108.04,19.1,129.61,17.6,684.25,38.78,3.34,0.46,26076.89,55993.87,0.67,0.14,0.18,0.46,12095.65,4.95,85.0
Mean,0.78,101.35,110.55,19.36,129.94,17.77,722.98,40.69,3.54,0.48,26475.83,57385.71,0.69,0.14,0.18,0.48,12964.93,5.02,85.0
Std,0.14,19.05,28.95,3.76,13.68,2.63,359.95,24.15,1.56,0.14,6650.12,15822.92,0.17,0.026,0.048,0.14,9285.03,0.71,1.0
Median absolute deviation,0.074,10.46,14.82,1.96,3.09,0.29,122.67,6.64,0.49,0.054,3115.73,7561.53,0.055,0.0023,0.018,0.054,2286.71,0.34,1.0
