,Eta,Beta,Epsilon,Xc,Beta/Eta,Beta*Xc/Eps,Fx=Beta^2/(Eta*Xc),Dx=Beta*Eps/(Eta*Xc^2),Xc^2/Eps,Beta*Kappa/Eps,Fk=Beta^2/(Eta*Kappa),Dk=Beta*Eps/(Eta*Kappa^2),s=(Xc^1.5*Eta^0.5)/Eps,Slope=Eta*Xc/Eps,Xc/Eps,Fk/Dk,Fk^2/Dk,t_eta,Median Lifetime
Best fit,0.75,97.07,98.66,19.34,129.59,19.03,650.27,34.17,3.79,0.49,25158.35,51140.39,0.75,0.15,0.2,0.49,12376.57,5.08,85.0
Median,0.79,103.07,103.23,19.27,130.28,18.97,692.01,36.64,3.57,0.49,26906.67,53682.26,0.72,0.15,0.18,0.49,13162.76,4.96,85.0
Mean,0.79,102.96,106.62,19.67,130.42,19.0,712.86,37.32,3.72,0.5,26933.51,55468.16,0.73,0.15,0.19,0.5,13624.55,5.02,85.0
Std,0.12,16.96,26.92,3.63,4.23,0.44,216.24,10.39,0.93,0.1,4974.22,13353.51,0.093,0.0026,0.032,0.1,4495.95,0.57,1.0
Median absolute deviation,0.072,9.61,14.55,1.89,2.46,0.26,114.12,5.53,0.46,0.053,2703.64,7469.75,0.049,0.0016,0.017,0.053,2282.16,0.31,1.0
