,Eta,Beta,Epsilon,Xc,Beta/Eta,Beta*Xc/Eps,Fx=Beta^2/(Eta*Xc),Dx=Beta*Eps/(Eta*Xc^2),Xc^2/Eps,Beta*Kappa/Eps,Fk=Beta^2/(Eta*Kappa),Dk=Beta*Eps/(Eta*Kappa^2),s=(Xc^1.5*Eta^0.5)/Eps,Slope=Eta*Xc/Eps,Xc/Eps,Fk/Dk,Fk^2/Dk,t_eta,Median Lifetime
Best fit,0.96,127.09,130.84,18.98,132.06,18.44,884.12,47.95,2.75,0.49,33568.37,69117.91,0.62,0.14,0.15,0.49,16303.09,4.44,85.0
Median,0.78,100.61,104.87,19.21,128.73,18.28,678.79,37.08,3.47,0.48,25932.6,53996.76,0.7,0.14,0.18,0.48,12413.25,4.94,85.0
Mean,0.78,100.99,107.24,19.54,129.06,18.36,703.11,38.22,3.69,0.49,26185.77,55311.36,0.72,0.14,0.19,0.49,13001.28,5.03,85.0
Std,0.13,17.75,26.23,3.74,16.42,1.55,276.21,16.0,1.52,0.12,6533.14,16820.22,0.14,0.016,0.047,0.12,6351.05,0.71,1.0
Median absolute deviation,0.067,9.68,14.06,1.89,2.71,0.27,116.9,6.05,0.49,0.053,2877.98,6962.21,0.054,0.002,0.017,0.053,2257.87,0.33,1.0
