,mean,std,mode,percentile_16,percentile_50,percentile_95,max_likelihood
xc/eta,78.803,"[16.447, 13.607]",80.248,"[80.248, 80.248]","[76.94, 83.699]","[37.614, 94.965]",83.865
beta/eta,1.33,"[1.067, 0.592]",1.199,"[1.129, 1.273]","[1.0, 1.828]","[0.43, 8.768]",1.1
xc^2/epsilon,46.436,"[16.065, 11.936]",48.568,"[48.568, 48.568]","[45.818, 51.484]","[17.005, 61.325]",50.287
xc,11.431,"[19.277, 7.176]",45.271,"[45.271, 48.736]","[33.703, 56.484]","[5.331, 94.661]",5.755
ExtH,10.379,"[0.737, 0.688]",10.14,"[10.108, 10.301]","[10.013, 10.972]","[8.498, 11.253]",10.763
eta,0.141,"[0.275, 0.0931]",0.633,"[0.52, 0.633]","[0.318, 0.77]","[0.0726, 3.371]",0.0686
beta,0.187,"[0.602, 0.143]",1.26,"[0.975, 1.433]","[0.271, 1.629]","[0.0581, 24.051]",0.0755
epsilon,2.812,"[20.115, 2.467]",40.039,"[33.455, 40.039]","[19.516, 68.635]","[0.643, 495.188]",0.659
sqrt(xc/eta),8.876,"[0.884, 0.804]",8.958,"[8.958, 8.958]","[8.772, 9.149]","[6.133, 9.745]",9.158
s= eta^0.5*xc^1.5/epsilon,5.173,"[1.159, 0.947]",5.512,"[5.512, 5.512]","[5.092, 5.734]","[2.597, 6.207]",5.491
beta*xc/epsilon,0.759,"[0.497, 0.3]",0.817,"[0.772, 0.864]","[0.651, 1.147]","[0.35, 4.721]",0.66
eta*xc/epsilon,0.576,"[0.07, 0.0624]",0.593,"[0.578, 0.593]","[0.563, 0.625]","[0.422, 0.676]",0.6
Fx=beta^2/eta*xc,0.0226,"[0.0658, 0.0168]",0.0174,"[0.0174, 0.0203]","[0.0127, 0.0379]","[0.00195, 1.611]",0.0144
Dx =beta*epsilon/eta*xc^2,0.0297,"[0.0405, 0.0171]",0.0285,"[0.0254, 0.0285]","[0.0202, 0.0451]","[0.00643, 0.562]",0.0219
Pk=beta*k/epsilon,0.0324,"[0.0483, 0.0194]",0.0242,"[0.0215, 0.0272]","[0.017, 0.0386]","[0.00372, 0.0692]",0.0573
Fk=beta^2/eta*k,0.495,"[3.058, 0.426]",4.705,"[3.97, 5.577]","[0.725, 7.836]","[0.133, 463.226]",0.166
Dk =beta*epsilon/eta*k^2,14.986,"[156.106, 13.674]",411.981,"[335.322, 506.166]","[52.568, 764.053]","[2.944, 46927.847]",2.898
Fk^2/Dk=beta^3/eta*epsilon,0.0172,"[0.0904, 0.0144]",0.0126,"[0.0126, 0.0155]","[0.00836, 0.0289]","[0.00554, 11.46]",0.00952
best fit_MedianLifetime,10.09,0.5099999999999998,10.09,"[9.6, 10.6]","[9.6, 10.6]","[9.6, 10.6]",10.09
best fit_MaxLifetime,24.0,0,24.0,"[24.0, 24.0]","[24.0, 24.0]","[24.0, 24.0]",24.0
data_MedianLifetime,10.0,0.5899999999999999,10.0,"[9.46, 10.59]","[9.46, 10.59]","[9.46, 10.59]",10.0
data_MaxLifetime,22.0,0,22.0,"[22.0, 22.0]","[22.0, 22.0]","[22.0, 22.0]",22.0
