,mean,std,mode,percentile_16,percentile_50,percentile_95,max_likelihood,mode_overall
xc/eta,1231141.454,"[366932.385, 282681.35]",1087530.056,"[1059031.612, 1177709.833]","[952312.635, 1309687.487]","[770053.31, 2227483.853]",1087260.223,1087260.223
beta/eta,37588.481,"[717.788, 704.338]",37835.965,"[37471.535, 37958.228]","[36991.082, 38203.939]","[36048.578, 39202.796]",37782.681,37782.681
xc^2/epsilon,715.838,"[199.68, 156.128]",637.144,"[622.292, 683.858]","[566.269, 751.515]","[491.547, 1323.633]",630.363,630.363
xc,68.129,"[30.624, 21.127]",66.869,"[57.281, 68.971]","[44.717, 68.971]","[18.797, 128.091]",67.012,67.012
ExtH,6.042,"[0.198, 0.192]",5.952,"[5.935, 5.97]","[5.924, 6.074]","[5.89, 6.424]",5.941,5.941
eta,5.66e-05,"[2.32e-05, 1.65e-05]",2.79e-05,"[2.41e-05, 3.04e-05]","[2.28e-05, 5.11e-05]","[1.61e-05, 0.000129]",6.16e-05,6.16e-05
beta,2.099,"[0.838, 0.599]",2.318,"[2.253, 2.526]","[1.793, 2.675]","[0.54, 4.225]",2.329,2.329
epsilon,6.632,"[6.173, 3.197]",6.376,"[4.775, 6.756]","[2.386, 8.513]","[0.596, 27.056]",7.124,7.124
sqrt(xc/eta),1077.948,"[141.668, 125.212]",1042.847,"[1029.093, 1056.785]","[975.865, 1114.427]","[877.527, 1492.476]",1042.718,1042.718
s= eta^0.5*xc^1.5/epsilon,0.623,"[0.0732, 0.0655]",0.603,"[0.595, 0.61]","[0.582, 0.639]","[0.529, 0.849]",0.605,0.605
beta*xc/epsilon,21.911,"[0.867, 0.834]",21.97,"[21.774, 22.167]","[21.388, 22.567]","[20.271, 23.389]",21.905,21.905
eta*xc/epsilon,0.000578,"[1.22e-05, 1.19e-05]",0.000578,"[0.000575, 0.000582]","[0.000575, 0.00059]","[0.00056, 0.000614]",0.00058,0.00058
Fx=beta^2/eta*xc,1177.436,"[356.217, 273.479]",1290.083,"[1171.539, 1332.205]","[1030.249, 1514.906]","[541.839, 1958.91]",1312.962,1312.962
Dx =beta*epsilon/eta*xc^2,54.737,"[14.955, 11.746]",60.025,"[55.677, 61.548]","[52.955, 68.038]","[29.019, 87.417]",59.938,59.938
Pk=beta*k/epsilon,0.156,"[0.0809, 0.0533]",0.159,"[0.153, 0.179]","[0.141, 0.227]","[0.0695, 0.542]",0.163,0.163
Fk=beta^2/eta*k,155168.274,"[68446.184, 47495.481]",173095.914,"[158619.616, 178209.201]","[99555.207, 200218.107]","[41568.539, 319004.101]",175967.444,175967.444
Dk =beta*epsilon/eta*k^2,996001.921,"[1023807.629, 504856.691]",710266.347,"[600057.093, 840717.141]","[342055.854, 1052660.001]","[99331.461, 4056182.0]",1076619.946,1076619.946
Fk^2/Dk=beta^3/eta*epsilon,24862.416,"[10137.972, 7201.477]",28505.994,"[25326.796, 29652.057]","[21632.449, 34715.977]","[11513.501, 43978.585]",28760.884,28760.884
beta^2/epsilon,0.67,"[0.251, 0.183]",0.768,"[0.689, 0.797]","[0.514, 0.922]","[0.332, 1.429]",0.761,0.761
k/beta,0.241,"[0.0982, 0.0698]",0.216,"[0.198, 0.222]","[0.176, 0.279]","[0.118, 0.926]",0.215,0.215
k/epsilon,0.077,"[0.0735, 0.0376]",0.088,"[0.074, 0.105]","[0.0659, 0.209]","[0.0165, 0.665]",0.0702,0.0702
best fit_MedianLifetime,27106.67,184.97000000000116,27106.67,"[26926.76, 27291.64]","[26926.76, 27291.64]","[26926.76, 27291.64]",27106.67,
best fit_MaxLifetime,38688.25,0,38688.25,"[38688.25, 38688.25]","[38688.25, 38688.25]","[38688.25, 38688.25]",38688.25,
data_MedianLifetime,26645.0,182.86999999999898,26645.0,"[26466.27, 26827.87]","[26466.27, 26827.87]","[26466.27, 26827.87]",26645.0,
data_MaxLifetime,38690.0,0,38690.0,"[38690.0, 38690.0]","[38690.0, 38690.0]","[38690.0, 38690.0]",38690.0,
