,mean,std,mode,percentile_16,percentile_50,percentile_95,max_likelihood,mode_overall
xc/eta,1206165.923,"[11738.154, 11625.022]",1346487.776,"[1310066.24, 1383921.878]","[1310066.24, 1461941.165]","[1240152.049, 1544358.829]",1230219.53,1230219.53
beta/eta,49175.778,"[158.777, 158.266]",44693.42,"[44388.711, 45000.22]","[44388.711, 45000.22]","[43190.512, 45620.152]",49501.939,49501.939
xc^2/epsilon,426.603,"[6.029, 5.945]",510.943,"[495.866, 526.478]","[495.866, 526.478]","[467.034, 558.98]",427.188,427.188
xc,13.055,"[1.223, 1.118]",30.148,"[29.107, 31.226]","[29.107, 31.226]","[14.416, 41.361]",13.399,13.399
ExtH,7.127,"[0.0278, 0.0277]",7.129,"[7.118, 7.14]","[7.118, 7.163]","[6.768, 7.346]",7.131,7.131
eta,1.09e-05,"[5.51e-07, 5.25e-07]",5.74e-05,"[5.49e-05, 6e-05]","[4.22e-05, 9.3e-05]","[1.61e-05, 0.000102]",1.09e-05,1.09e-05
beta,0.562,"[0.028, 0.0267]",0.562,"[0.539, 0.586]","[0.539, 0.586]","[0.496, 0.637]",0.539,0.539
epsilon,0.41,"[0.0417, 0.0379]",0.478,"[0.442, 0.517]","[0.442, 0.517]","[0.377, 0.605]",0.42,0.42
sqrt(xc/eta),1098.406,"[2.497, 2.492]",1160.383,"[1144.581, 1176.402]","[1144.581, 1209.108]","[1113.621, 1242.722]",1109.153,1109.153
s= eta^0.5*xc^1.5/epsilon,0.385,"[0.00631, 0.00621]",0.405,"[0.399, 0.412]","[0.386, 0.412]","[0.374, 0.426]",0.385,0.385
beta*xc/epsilon,17.23,"[0.0379, 0.0378]",16.992,"[16.873, 17.111]","[16.873, 17.353]","[15.51, 17.353]",17.189,17.189
eta*xc/epsilon,0.000349,"[1.52e-06, 1.51e-06]",0.000348,"[0.000347, 0.00035]","[0.000347, 0.00035]","[0.000341, 0.000353]",0.000347,0.000347
Fx=beta^2/eta*xc,2068.47,"[12.75, 12.672]",1205.825,"[1160.232, 1253.209]","[1160.232, 1353.637]","[626.204, 1462.112]",1991.874,1991.874
Dx =beta*epsilon/eta*xc^2,112.956,"[0.727, 0.722]",85.13,"[82.175, 88.192]","[76.568, 94.65]","[46.69, 125.568]",115.879,115.879
Pk=beta*k/epsilon,0.643,"[0.0328, 0.0312]",0.281,"[0.269, 0.292]","[0.269, 0.292]","[0.071, 0.408]",0.641,0.641
Fk=beta^2/eta*k,54352.517,"[2643.328, 2520.737]",54185.143,"[52052.589, 56405.066]","[52052.589, 61121.483]","[37751.936, 259392.769]",53378.965,53378.965
Dk =beta*epsilon/eta*k^2,83745.799,"[9512.903, 8542.534]",86715.224,"[80343.929, 93591.766]","[80343.929, 93591.766]","[80343.929, 109024.026]",83218.566,83218.566
Fk^2/Dk=beta^3/eta*epsilon,35389.234,"[97.211, 96.944]",10937.148,"[10487.954, 11405.581]","[10487.954, 12403.493]","[8868.243, 13488.716]",34238.921,34238.921
beta^2/epsilon,0.729,"[0.0135, 0.0132]",0.265,"[0.256, 0.275]","[0.238, 0.295]","[0.206, 0.457]",0.692,0.707
k/beta,0.96,"[0.0835, 0.0768]",0.889,"[0.853, 0.927]","[0.853, 0.927]","[0.722, 1.008]",0.927,0.933
k/epsilon,1.208,"[0.206, 0.176]",1.046,"[0.967, 1.131]","[0.967, 1.131]","[0.0304, 1.812]",1.19,1.233
best fit_MedianLifetime,24729.32,185.0600000000013,24729.32,"[24549.32, 24914.38]","[24549.32, 24914.38]","[24549.32, 24914.38]",24729.32,
best fit_MaxLifetime,40150.0,0,40150.0,"[40150.0, 40150.0]","[40150.0, 40150.0]","[40150.0, 40150.0]",40150.0,
data_MedianLifetime,25550.0,187.2400000000016,25550.0,"[25366.9, 25737.24]","[25366.9, 25737.24]","[25366.9, 25737.24]",25550.0,
data_MaxLifetime,37960.0,0,37960.0,"[37960.0, 37960.0]","[37960.0, 37960.0]","[37960.0, 37960.0]",37960.0,
