,mean,std,mode,percentile_16,percentile_50,percentile_95,max_likelihood,mode_overall
xc/eta,2328680.731,"[2169967.185, 1123262.114]",2874459.884,"[2416676.324, 3253635.822]","[1708216.68, 4380456.728]","[633930.207, 7939996.33]",1702414.995,3958244.897
beta/eta,2839.471,"[1497.468, 980.419]",3260.267,"[3022.022, 3517.293]","[2468.405, 4093.733]","[1155.745, 5833.264]",3360.304,2289.222
xc^2/epsilon,9125.304,"[12736.563, 5316.335]",11673.709,"[9399.961, 13627.333]","[5729.01, 19755.849]","[1661.359, 44171.908]",5908.574,19804.309
xc,45.806,"[178.487, 36.451]",40.167,"[28.237, 61.793]","[15.091, 184.976]","[2.914, 819.125]",82.303,13.814
eta,1.66e-05,"[6.36e-05, 1.31e-05]",5.06e-05,"[4.13e-05, 8.59e-05]","[1.22e-05, 0.000129]","[8.98e-07, 0.000228]",4.83e-05,6.1e-07
beta,0.0468,"[0.179, 0.0371]",0.068,"[0.0396, 0.0869]","[0.018, 0.211]","[0.00278, 0.685]",0.162,0.00207
epsilon,0.164,"[3.649, 0.157]",0.693,"[0.336, 1.683]","[0.057, 7.179]","[0.000532, 35.981]",1.146,0.000291
sqrt(xc/eta),1507.187,"[544.919, 400.22]",1573.948,"[1479.395, 1716.562]","[1274.996, 1991.749]","[816.175, 2681.545]",1304.766,1386.92
s= eta^0.5*xc^1.5/epsilon,5.835,"[3.905, 2.339]",6.104,"[5.558, 6.96]","[4.276, 9.048]","[2.178, 15.292]",4.528,5.262
beta*xc/epsilon,11.175,"[2.714, 2.183]",11.601,"[10.874, 11.854]","[10.415, 12.922]","[7.064, 17.477]",11.663,14.123
eta*xc/epsilon,0.00386,"[0.000877, 0.000715]",0.00387,"[0.00369, 0.00405]","[0.00335, 0.00452]","[0.00263, 0.00569]",0.00347,0.00379
Fx=beta^2/eta*xc,3.716,"[10.149, 2.72]",4.274,"[2.941, 5.348]","[1.617, 9.726]","[0.269, 50.37]",6.633,7.205
Dx =beta*epsilon/eta*xc^2,0.333,"[0.723, 0.228]",0.306,"[0.259, 0.451]","[0.149, 0.784]","[0.0354, 3.306]",0.569,0.51
Pk=beta*k/epsilon,0.121,"[0.665, 0.102]",0.052,"[0.0436, 0.111]","[0.0193, 0.354]","[0.00479, 4.073]",0.0709,0.506
Fk=beta^2/eta*k,239.698,"[1064.986, 195.661]",210.918,"[149.126, 342.687]","[74.548, 904.62]","[10.698, 4776.997]",1091.783,36.044
Dk =beta*epsilon/eta*k^2,1994.218,"[40401.375, 1900.413]",8259.977,"[2814.465, 12497.366]","[748.013, 77288.144]","[7.239, 343190.739]",15409.378,34.056
Fk^2/Dk=beta^3/eta*epsilon,29.733,"[156.024, 24.974]",50.593,"[31.527, 67.194]","[12.243, 143.213]","[0.717, 949.742]",77.355,18.764
epsilon/beta^2,80.492,"[224.699, 59.263]",62.492,"[50.746, 88.416]","[29.126, 154.048]","[6.327, 1235.62]",43.44,352.988
k/beta,10.532,"[39.393, 8.31]",10.897,"[5.752, 12.628]","[2.374, 25.131]","[0.73, 162.711]",3.078,11.571
k^2/epsilon,1.378,"[30.543, 1.318]",0.306,"[0.126, 0.633]","[0.0252, 3.172]","[0.00694, 399.477]",0.218,0.379
best fit_MedianLifetime,4101.96,184.97999999999956,4101.96,"[3922.03, 4286.94]","[3922.03, 4286.94]","[3922.03, 4286.94]",4101.96,
best fit_MaxLifetime,6886.74,0,6886.74,"[6886.74, 6886.74]","[6886.74, 6886.74]","[6886.74, 6886.74]",6886.74,
data_MedianLifetime,3915.32,193.12999999999965,3915.32,"[3743.73, 4108.45]","[3743.73, 4108.45]","[3743.73, 4108.45]",3915.32,
data_MaxLifetime,6935.21,0,6935.21,"[6935.21, 6935.21]","[6935.21, 6935.21]","[6935.21, 6935.21]",6935.21,
