,mean,std,mode,percentile_16,percentile_50,percentile_95,max_likelihood,mode_overall
xc/eta,580338.098,"[391.299, 391.035]",1484257.157,"[1456641.188, 1512396.687]","[1351220.803, 1967241.319]","[472018.089, 12868093.557]",580384.836,580384.836
beta/eta,11386.143,"[3.211, 3.21]",7332.97,"[7218.634, 7449.117]","[7218.634, 7449.117]","[6995.282, 7686.959]",11286.812,11286.812
xc^2/epsilon,507.114,"[0.413, 0.413]",407.858,"[399.07, 416.839]","[399.07, 416.839]","[399.07, 416.839]",503.901,503.901
xc,18.451,"[0.0206, 0.0206]",15.763,"[15.154, 16.395]","[15.154, 16.395]","[15.154, 16.395]",18.27,18.27
ExtH,4.083,"[0.000205, 0.000205]",4.07,"[4.064, 4.077]","[4.064, 4.077]","[4.064, 4.09]",4.089,4.089
eta,3.26e-05,"[9.3e-12, 9.3e-12]",5.51e-05,"[5.28e-05, 5.76e-05]","[5.28e-05, 5.76e-05]","[3.12e-05, 7.49e-05]",3.15e-05,3.15e-05
beta,0.365,"[8.54e-09, 8.54e-09]",0.399,"[0.382, 0.418]","[0.382, 0.418]","[0.349, 0.418]",0.355,0.355
epsilon,0.628,"[4.43e-07, 4.43e-07]",5.18,"[4.777, 5.618]","[4.777, 5.618]","[4.061, 5.618]",0.662,0.662
sqrt(xc/eta),761.799,"[0.257, 0.257]",1218.301,"[1206.914, 1229.795]","[1184.458, 1229.795]","[687.036, 3587.213]",761.83,761.83
s= eta^0.5*xc^1.5/epsilon,0.668,"[0.000318, 0.000318]",1.262,"[1.246, 1.279]","[1.246, 1.279]","[1.215, 1.279]",0.661,0.661
beta*xc/epsilon,9.913,"[0.00136, 0.00136]",8.04,"[7.936, 8.146]","[7.936, 8.146]","[7.936, 8.362]",9.799,9.799
eta*xc/epsilon,0.00087,"[6.29e-07, 6.28e-07]",0.00107,"[0.00106, 0.00107]","[0.00106, 0.00107]","[0.00105, 0.00107]",0.000868,0.000868
Fx=beta^2/eta*xc,218.5,"[1.304, 1.296]",40.212,"[38.365, 42.148]","[38.365, 42.148]","[34.922, 46.304]",219.496,219.496
Dx =beta*epsilon/eta*xc^2,21.714,"[0.117, 0.116]",5.137,"[4.955, 5.325]","[4.955, 5.325]","[4.611, 5.325]",22.399,22.399
Pk=beta*k/epsilon,0.278,"[0.00202, 0.002]",0.0452,"[0.043, 0.0474]","[0.043, 0.0474]","[0.0391, 0.0521]",0.268,0.268
Fk=beta^2/eta*k,8311.65,"[3.884, 3.882]",7436.201,"[7033.681, 7861.757]","[7033.681, 7861.757]","[7033.681, 7861.757]",8020.219,8020.219
Dk =beta*epsilon/eta*k^2,32131.28,"[21.831, 21.816]",139192.022,"[128304.791, 151003.083]","[128304.791, 151003.083]","[109018.433, 151003.083]",29905.085,29905.085
Fk^2/Dk=beta^3/eta*epsilon,2044.759,"[1.651, 1.65]",283.861,"[267.845, 300.834]","[267.845, 300.834]","[267.845, 337.886]",2150.936,2150.936
beta^2/epsilon,0.186,"[1.62e-07, 1.62e-07]",0.0381,"[0.0365, 0.0398]","[0.0334, 0.0398]","[0.028, 0.0435]",0.191,0.191
k/beta,1.37,"[3.22e-08, 3.22e-08]",1.251,"[1.196, 1.309]","[1.196, 1.309]","[1.196, 1.433]",1.407,1.407
k/epsilon,0.796,"[5.61e-07, 5.61e-07]",0.0965,"[0.0889, 0.105]","[0.0889, 0.105]","[0.0889, 0.123]",0.755,0.755
best fit_MedianLifetime,3687.24,185.01999999999998,3687.24,"[3507.2799999999997, 3872.2599999999998]","[3507.2799999999997, 3872.2599999999998]","[3507.2799999999997, 3872.2599999999998]",3687.24,
best fit_MaxLifetime,9125.0,0,9125.0,"[9125.0, 9125.0]","[9125.0, 9125.0]","[9125.0, 9125.0]",9125.0,
data_MedianLifetime,5110.0,174.03999999999996,5110.0,"[4939.66, 5284.04]","[4939.66, 5284.04]","[4939.66, 5284.04]",5110.0,
data_MaxLifetime,5840.0,0,5840.0,"[5840.0, 5840.0]","[5840.0, 5840.0]","[5840.0, 5840.0]",5840.0,
