,Eta,Beta,Epsilon,Xc,Beta/Eta,Beta*Xc/Eps,Fx=Beta^2/(Eta*Xc),Dx=Beta*Eps/(Eta*Xc^2),Xc^2/Eps,Beta*Kappa/Eps,Fk=Beta^2/(Eta*Kappa),Dk=Beta*Eps/(Eta*Kappa^2),s=(Xc^1.5*Eta^0.5)/Eps,Slope=Eta*Xc/Eps,Xc/Eps,Fk/Dk,Fk^2/Dk,Median Lifetime
Best fit,0.0011,1.97,2.83,14.71,1733.69,10.23,232.02,22.68,76.45,0.35,6823.96,19617.86,0.67,0.0059,5.2,0.35,2373.67,786.0
Median,0.0002,0.2,0.4,15.62,992.14,7.79,12.92,1.65,602.51,0.25,381.93,1522.82,2.18,0.0079,39.52,0.25,101.13,786.0
Mean,0.00063,1.07,2.48,18.19,1113.37,8.08,148.28,12.67,624.26,0.28,4068.49,16362.37,2.08,0.0077,40.85,0.28,1793.69,786.0
Std,0.0012,2.82,6.31,10.83,412.16,1.47,672.3,48.27,422.03,0.18,13802.53,46380.56,0.94,0.0011,29.12,0.18,9696.76,0.52
Median absolute deviation,7.6e-05,0.097,0.21,3.56,185.33,0.77,8.18,0.93,302.2,0.067,230.5,905.67,0.66,0.00073,21.37,0.067,69.64,0.52
