,Eta,Beta,Epsilon,Xc,Beta/Eta,Beta*Xc/Eps,Fx=Beta^2/(Eta*Xc),Dx=Beta*Eps/(Eta*Xc^2),Xc^2/Eps,Beta*Kappa/Eps,Fk=Beta^2/(Eta*Kappa),Dk=Beta*Eps/(Eta*Kappa^2),s=(Xc^1.5*Eta^0.5)/Eps,Slope=Eta*Xc/Eps,Xc/Eps,Fk/Dk,Fk^2/Dk,Median Lifetime
Best fit,0.00016,0.1,0.18,20.97,648.68,11.62,3.15,0.27,2390.9,0.28,132.19,477.32,6.54,0.018,114.0,0.28,36.61,882.0
Median,0.00017,0.12,0.18,18.68,706.19,12.03,4.37,0.36,1941.3,0.32,165.59,515.78,5.74,0.017,102.59,0.32,52.65,882.0
Mean,0.00018,0.13,0.22,19.67,704.57,11.94,4.89,0.4,2049.38,0.32,183.66,624.31,5.88,0.017,107.09,0.32,59.63,882.0
Std,6.2e-05,0.056,0.24,5.76,89.08,0.61,2.69,0.2,717.79,0.083,105.47,757.62,1.25,0.0014,34.81,0.083,35.4,0.52
Median absolute deviation,2.5e-05,0.025,0.045,2.41,54.66,0.33,1.33,0.1,400.0,0.049,45.4,143.58,0.74,0.00088,19.93,0.049,17.31,0.52
