,Eta,Beta,Epsilon,Xc,Beta/Eta,Beta*Xc/Eps,Fx=Beta^2/(Eta*Xc),Dx=Beta*Eps/(Eta*Xc^2),Xc^2/Eps,Beta*Kappa/Eps,Fk=Beta^2/(Eta*Kappa),Dk=Beta*Eps/(Eta*Kappa^2),s=(Xc^1.5*Eta^0.5)/Eps,Slope=Eta*Xc/Eps,Xc/Eps,Fk/Dk,Fk^2/Dk,Median Lifetime
Best fit,0.046,0.0061,4.0,18.73,0.13,0.028,4.3e-05,0.0015,87.79,0.00076,0.0016,2.1,4.37,0.22,4.69,0.00076,1.2e-06,20.0
Median,0.05,0.0096,4.56,20.02,0.21,0.046,0.00011,0.0023,88.21,0.0011,0.004,3.19,4.41,0.22,4.38,0.0011,4.9e-06,20.0
Mean,0.056,0.016,7.65,22.49,0.28,0.063,0.00082,0.0033,88.1,0.0023,0.034,8.6,4.41,0.22,5.67,0.0023,0.0013,20.0
Std,0.033,0.043,8.87,12.98,0.41,0.1,0.015,0.0063,1.47,0.0081,0.67,36.43,0.061,0.004,4.03,0.0081,0.048,0.48
Median absolute deviation,0.021,0.0065,3.29,8.39,0.13,0.029,0.0001,0.0015,0.69,0.00078,0.0038,2.6,0.037,0.0024,1.74,0.00078,4.9e-06,0.48
