,Eta,Beta,Epsilon,Xc,Beta/Eta,Beta*Xc/Eps,Fx=Beta^2/(Eta*Xc),Dx=Beta*Eps/(Eta*Xc^2),Xc^2/Eps,Beta*Kappa/Eps,Fk=Beta^2/(Eta*Kappa),Dk=Beta*Eps/(Eta*Kappa^2),s=(Xc^1.5*Eta^0.5)/Eps,Slope=Eta*Xc/Eps,Xc/Eps,Fk/Dk,Fk^2/Dk,t_eta,Median Lifetime
Best fit,0.94,121.12,102.25,15.32,128.53,18.15,1016.08,55.99,2.3,0.59,31136.64,52572.84,0.57,0.14,0.15,0.59,18440.9,4.03,80.0
Median,0.82,99.28,106.4,19.1,120.98,17.7,631.24,35.59,3.4,0.46,24020.37,51383.77,0.71,0.15,0.18,0.46,11180.64,4.82,80.0
Mean,0.82,100.0,108.57,19.31,121.24,17.81,655.8,36.8,3.55,0.48,24346.5,52581.18,0.72,0.15,0.18,0.48,11769.4,4.87,80.0
Std,0.13,17.02,25.52,3.34,9.63,3.83,216.45,11.2,1.62,0.11,5430.01,12724.33,0.17,0.019,0.049,0.11,6605.58,0.58,1.0
Median absolute deviation,0.072,9.71,13.72,1.81,2.57,0.24,103.91,5.55,0.46,0.05,2698.02,6508.28,0.052,0.0019,0.017,0.05,1936.49,0.3,1.0
