,Eta,Beta,Epsilon,Xc,Beta/Eta,Beta*Xc/Eps,Fx=Beta^2/(Eta*Xc),Dx=Beta*Eps/(Eta*Xc^2),Xc^2/Eps,Beta*Kappa/Eps,Fk=Beta^2/(Eta*Kappa),Dk=Beta*Eps/(Eta*Kappa^2),s=(Xc^1.5*Eta^0.5)/Eps,Slope=Eta*Xc/Eps,Xc/Eps,Fk/Dk,Fk^2/Dk,t_eta,Median Lifetime
Best fit,0.84,101.97,96.7,17.69,121.56,18.66,700.64,37.56,3.24,0.53,24790.65,47019.64,0.7,0.15,0.18,0.53,13070.63,4.59,85.0
Median,0.83,100.95,102.54,19.06,120.65,18.43,637.87,34.57,3.5,0.49,24357.37,49563.5,0.73,0.15,0.18,0.49,11824.88,4.78,85.0
Mean,0.83,100.74,104.16,19.3,122.25,19.05,690.06,36.91,3.89,0.52,24843.53,50919.51,0.77,0.16,0.2,0.52,13469.59,4.88,85.0
Std,0.18,21.34,32.79,4.32,20.94,6.83,370.88,19.63,3.43,0.23,8432.96,18776.94,0.33,0.052,0.096,0.23,15312.1,0.86,1.0
Median absolute deviation,0.097,11.92,17.21,2.21,3.91,0.46,126.92,6.97,0.57,0.066,3507.96,8508.16,0.073,0.0045,0.022,0.066,2388.12,0.36,1.0
