,Eta,Beta,Epsilon,Xc,Beta/Eta,Beta*Xc/Eps,Fx=Beta^2/(Eta*Xc),Dx=Beta*Eps/(Eta*Xc^2),Xc^2/Eps,Beta*Kappa/Eps,Fk=Beta^2/(Eta*Kappa),Dk=Beta*Eps/(Eta*Kappa^2),s=(Xc^1.5*Eta^0.5)/Eps,Slope=Eta*Xc/Eps,Xc/Eps,Fk/Dk,Fk^2/Dk,t_eta,Median Lifetime
Best fit,4.85,473.9,1504.78,66.22,97.66,20.86,698.87,33.51,2.91,0.16,92561.21,587822.71,0.79,0.21,0.044,0.16,14575.11,3.69,68.0
Median,1.12,105.78,329.82,40.47,101.96,15.9,289.65,16.63,6.35,0.2,20785.81,123187.97,1.02,0.16,0.14,0.2,4798.97,6.17,68.0
Mean,1.98,213.22,1284.11,59.86,105.18,22.16,664.01,30.78,9.57,3.86,46775.73,558427.45,1.26,0.2,1.43,3.86,29584.96,6.52,68.0
Std,2.44,286.88,2924.59,59.65,21.7,30.63,1257.52,46.69,9.66,25.99,69767.1,1382716.42,0.95,0.2,8.09,25.99,290701.15,2.88,0.51
Median absolute deviation,0.8,78.08,321.09,29.35,9.7,1.96,204.3,10.92,3.92,0.14,15490.71,119414.62,0.39,0.029,0.1,0.14,3586.86,1.99,0.51
