,Eta,Beta,Epsilon,Xc,Beta/Eta,Beta*Xc/Eps,Fx=Beta^2/(Eta*Xc),Dx=Beta*Eps/(Eta*Xc^2),Xc^2/Eps,Beta*Kappa/Eps,Fk=Beta^2/(Eta*Kappa),Dk=Beta*Eps/(Eta*Kappa^2),s=(Xc^1.5*Eta^0.5)/Eps,Slope=Eta*Xc/Eps,Xc/Eps,Fk/Dk,Fk^2/Dk,t_eta,Median Lifetime
Best fit,7.1,986.3,2374.51,39.15,138.82,16.26,3497.35,215.07,0.65,0.21,273841.95,1318551.99,0.27,0.12,0.016,0.21,56872.55,2.35,68.0
Median,1.21,132.87,401.82,50.45,106.89,15.08,293.96,19.55,5.4,0.15,27051.31,170077.81,0.89,0.14,0.12,0.15,4502.02,6.17,68.0
Mean,2.26,261.1,1830.76,63.69,111.51,15.71,649.48,38.78,6.87,0.61,61179.73,831218.38,0.93,0.14,0.31,0.61,11349.02,6.29,68.0
Std,2.72,336.54,3664.07,56.95,21.31,2.44,871.09,45.73,5.62,2.1,84511.37,1700057.39,0.44,0.016,0.67,2.1,20457.95,2.33,0.51
Median absolute deviation,0.84,92.62,377.25,32.74,10.54,0.59,188.64,12.38,3.33,0.088,19413.52,160083.25,0.29,0.011,0.093,0.088,2844.56,1.6,0.51
