,Eta,Beta,Epsilon,Xc,Beta/Eta,Beta*Xc/Eps,Fx=Beta^2/(Eta*Xc),Dx=Beta*Eps/(Eta*Xc^2),Xc^2/Eps,Beta*Kappa/Eps,Fk=Beta^2/(Eta*Kappa),Dk=Beta*Eps/(Eta*Kappa^2),s=(Xc^1.5*Eta^0.5)/Eps,Slope=Eta*Xc/Eps,Xc/Eps,Fk/Dk,Fk^2/Dk,t_eta,Median Lifetime
Best fit,1.33,62.47,748.26,134.05,46.89,11.19,21.85,1.95,24.02,0.042,5858.22,140330.2,2.39,0.24,0.18,0.042,244.56,10.03,47.0
Median,1.76,53.88,2727.14,481.2,30.52,9.81,3.0,0.31,99.95,0.01,3113.37,345433.92,5.67,0.32,0.18,0.01,29.47,17.62,47.0
Mean,1.87,53.65,5471.58,686.95,30.15,9.55,3.85,0.38,114.53,0.017,3258.97,541410.18,5.98,0.32,0.32,0.017,39.41,18.01,47.0
Std,1.1,27.13,8627.12,674.95,6.47,1.13,3.14,0.28,60.08,0.022,1835.03,629933.7,1.91,0.039,0.61,0.022,35.06,3.63,0.52
Median absolute deviation,0.76,22.93,2158.15,261.24,4.47,0.62,1.64,0.15,35.44,0.0058,1375.83,268117.68,1.27,0.028,0.067,0.0058,17.71,2.49,0.52
