,Eta,Beta,Epsilon,Xc,Beta/Eta,Beta*Xc/Eps,Fx=Beta^2/(Eta*Xc),Dx=Beta*Eps/(Eta*Xc^2),Xc^2/Eps,Beta*Kappa/Eps,Fk=Beta^2/(Eta*Kappa),Dk=Beta*Eps/(Eta*Kappa^2),s=(Xc^1.5*Eta^0.5)/Eps,Slope=Eta*Xc/Eps,Xc/Eps,Fk/Dk,Fk^2/Dk,t_eta,Median Lifetime
Best fit,4.19,129.68,241.77,18.27,30.92,9.8,219.5,22.4,1.38,0.27,8020.22,29905.09,0.66,0.32,0.076,0.27,2150.94,2.09,14.0
Median,3.26,31.71,1009.86,153.02,10.26,5.69,2.04,0.36,28.58,0.018,600.32,38219.28,3.97,0.55,0.17,0.018,11.85,7.18,14.0
Mean,5.91,71.1,6648.31,271.67,11.06,5.7,5.77,0.78,29.85,0.08,1939.82,308931.98,3.91,0.54,0.61,0.08,44.88,7.08,14.0
Std,7.16,112.89,16193.17,331.49,4.39,1.47,16.28,1.7,15.75,0.33,4419.82,1036760.06,1.3,0.075,1.68,0.33,159.35,1.7,0.48
Median absolute deviation,2.53,25.75,993.86,115.03,2.37,0.89,1.36,0.2,11.33,0.014,523.94,37639.81,0.94,0.047,0.12,0.014,8.94,1.15,0.48
