,Eta,Beta,Epsilon,Xc,Beta/Eta,Beta*Xc/Eps,Fx=Beta^2/(Eta*Xc),Dx=Beta*Eps/(Eta*Xc^2),Xc^2/Eps,Beta*Kappa/Eps,Fk=Beta^2/(Eta*Kappa),Dk=Beta*Eps/(Eta*Kappa^2),s=(Xc^1.5*Eta^0.5)/Eps,Slope=Eta*Xc/Eps,Xc/Eps,Fk/Dk,Fk^2/Dk,t_eta,Median Lifetime
Best fit,13.16,1446.41,4096.74,65.18,109.94,23.01,2439.61,106.01,1.04,0.18,318031.18,1801554.68,0.47,0.21,0.016,0.18,56142.53,2.23,75.0
Median,1.31,139.16,147.62,20.09,107.04,23.3,888.85,34.33,3.16,0.58,30260.81,64121.86,0.87,0.22,0.16,0.58,20898.8,3.69,75.0
Mean,2.8,307.42,711.8,31.19,109.69,28.52,2391.54,65.35,4.32,3.86,68092.6,300607.85,0.94,0.25,0.53,3.86,131056.29,3.96,75.0
Std,3.36,378.75,1706.74,33.41,13.17,21.5,7005.18,114.27,3.9,19.35,86640.76,724000.42,0.45,0.11,1.4,19.35,635298.03,1.71,0.51
Median absolute deviation,0.98,102.87,139.45,13.08,5.02,2.23,488.02,17.58,1.61,0.38,22092.32,60039.34,0.23,0.014,0.12,0.38,13203.03,1.0,0.51
