,Eta,Beta,Epsilon,Xc,Beta/Eta,Beta*Xc/Eps,Fx=Beta^2/(Eta*Xc),Dx=Beta*Eps/(Eta*Xc^2),Xc^2/Eps,Beta*Kappa/Eps,Fk=Beta^2/(Eta*Kappa),Dk=Beta*Eps/(Eta*Kappa^2),s=(Xc^1.5*Eta^0.5)/Eps,Slope=Eta*Xc/Eps,Xc/Eps,Fk/Dk,Fk^2/Dk,t_eta,Median Lifetime
Best fit,2.86,89.87,6133.71,923.64,31.45,13.53,3.06,0.23,139.09,0.0073,5651.81,771519.92,7.74,0.43,0.15,0.0073,41.4,17.98,49.0
Median,0.76,8.25,1131.29,703.01,12.13,6.05,0.15,0.026,465.52,0.0038,187.4,46209.31,14.86,0.48,0.64,0.0038,0.93,30.79,49.0
Mean,1.08,18.39,2977.26,850.32,13.77,6.54,0.46,0.047,442.43,0.0079,751.91,202646.65,14.42,0.48,1.01,0.0079,4.85,29.69,49.0
Std,0.93,22.24,5617.21,631.58,7.88,3.5,0.67,0.053,154.84,0.017,1130.28,385563.51,3.13,0.049,1.84,0.017,8.36,5.17,0.52
Median absolute deviation,0.4,6.17,911.33,313.89,6.01,2.98,0.14,0.017,117.22,0.002,171.0,41034.42,2.09,0.029,0.34,0.002,0.9,3.92,0.52
