,Eta,Beta,Epsilon,Xc,Beta/Eta,Beta*Xc/Eps,Fx=Beta^2/(Eta*Xc),Dx=Beta*Eps/(Eta*Xc^2),Xc^2/Eps,Beta*Kappa/Eps,Fk=Beta^2/(Eta*Kappa),Dk=Beta*Eps/(Eta*Kappa^2),s=(Xc^1.5*Eta^0.5)/Eps,Slope=Eta*Xc/Eps,Xc/Eps,Fk/Dk,Fk^2/Dk,t_eta,Median Lifetime
Best fit,8.21,849.97,2600.17,67.01,103.51,21.91,1312.96,59.94,1.73,0.16,175967.44,1076619.95,0.6,0.21,0.026,0.16,28760.88,2.86,73.0
Median,1.63,153.93,382.23,45.8,96.09,20.42,334.02,15.58,6.15,0.23,29565.42,145290.16,1.14,0.21,0.13,0.23,6902.83,5.32,73.0
Mean,2.97,294.83,1492.09,62.81,96.81,21.43,663.36,26.74,7.14,0.61,58780.68,579521.24,1.18,0.22,0.29,0.61,19347.22,5.39,73.0
Std,3.36,345.65,3097.18,59.05,7.99,4.74,1617.97,39.73,4.63,2.05,71576.47,1189949.48,0.43,0.028,0.55,2.05,99242.53,1.83,0.5
Median absolute deviation,1.06,101.99,343.75,25.53,5.01,1.03,175.48,7.91,3.14,0.13,19974.49,130314.91,0.31,0.0066,0.088,0.13,3817.86,1.37,0.5
