,Eta,Beta,Epsilon,Xc,Beta/Eta,Beta*Xc/Eps,Fx=Beta^2/(Eta*Xc),Dx=Beta*Eps/(Eta*Xc^2),Xc^2/Eps,Beta*Kappa/Eps,Fk=Beta^2/(Eta*Kappa),Dk=Beta*Eps/(Eta*Kappa^2),s=(Xc^1.5*Eta^0.5)/Eps,Slope=Eta*Xc/Eps,Xc/Eps,Fk/Dk,Fk^2/Dk,t_eta,Median Lifetime
Best fit,7.31,50.62,33049.91,1865.32,6.92,2.86,0.19,0.066,105.28,0.00077,700.72,914991.87,6.59,0.41,0.056,0.00077,0.54,15.97,22.0
Median,5.25,25.73,18890.75,1432.23,5.05,2.02,0.087,0.043,116.73,0.00073,248.19,384082.96,6.81,0.4,0.076,0.00073,0.18,17.1,22.0
Mean,7.44,34.03,85825.89,2252.62,5.12,2.04,0.13,0.049,116.35,0.0032,388.54,1217551.83,6.78,0.4,0.32,0.0032,0.37,17.06,22.0
Std,7.19,29.26,170964.48,2422.9,2.39,0.96,0.13,0.031,17.92,0.014,403.25,1835634.35,0.57,0.018,1.19,0.014,0.53,1.37,0.55
Median absolute deviation,3.93,20.85,18424.88,1056.78,1.74,0.7,0.063,0.019,12.95,0.00056,218.08,377692.8,0.39,0.012,0.05,0.00056,0.16,0.99,0.55
