,Eta,Beta,Epsilon,Xc,Beta/Eta,Beta*Xc/Eps,Fx=Beta^2/(Eta*Xc),Dx=Beta*Eps/(Eta*Xc^2),Xc^2/Eps,Beta*Kappa/Eps,Fk=Beta^2/(Eta*Kappa),Dk=Beta*Eps/(Eta*Kappa^2),s=(Xc^1.5*Eta^0.5)/Eps,Slope=Eta*Xc/Eps,Xc/Eps,Fk/Dk,Fk^2/Dk,t_eta,Median Lifetime
Best fit,0.069,0.075,0.66,5.76,1.1,0.66,0.014,0.022,50.29,0.057,0.17,2.9,5.49,0.6,8.74,0.057,0.0095,9.16,10.0
Median,1.16,10.39,127.53,38.22,11.24,3.82,3.91,1.04,11.34,0.045,227.92,4612.28,1.91,0.33,0.31,0.045,15.01,5.76,10.0
Mean,2.25,46.05,870.02,53.03,14.78,4.04,42.49,5.47,15.33,0.6,2550.54,83928.3,2.22,0.35,2.93,0.6,428.29,5.88,10.0
Std,4.07,135.43,3482.07,52.75,12.59,2.45,207.62,16.95,14.07,2.53,9646.84,466319.86,1.46,0.14,13.79,2.53,3608.58,1.91,0.59
Median absolute deviation,0.91,9.38,126.59,29.02,5.69,1.3,3.69,0.87,6.98,0.033,219.89,4573.53,0.79,0.086,0.24,0.033,14.78,1.41,0.59
