,Eta,Beta,Epsilon,Xc,Beta/Eta,Beta*Xc/Eps,Fx=Beta^2/(Eta*Xc),Dx=Beta*Eps/(Eta*Xc^2),Xc^2/Eps,Beta*Kappa/Eps,Fk=Beta^2/(Eta*Kappa),Dk=Beta*Eps/(Eta*Kappa^2),s=(Xc^1.5*Eta^0.5)/Eps,Slope=Eta*Xc/Eps,Xc/Eps,Fk/Dk,Fk^2/Dk,t_eta,Median Lifetime
Best fit,5.39,573.25,942.9,35.59,106.42,21.64,1714.17,79.23,1.34,0.3,122009.27,401368.67,0.52,0.2,0.038,0.3,37088.75,2.57,68.0
Median,1.59,145.61,318.69,42.57,94.25,19.51,273.59,13.22,7.16,0.23,26571.47,126589.95,1.25,0.21,0.13,0.23,5484.05,5.76,68.0
Mean,2.82,277.77,1704.37,71.26,95.7,21.32,697.87,28.47,9.31,1.27,55152.08,638535.07,1.31,0.22,0.59,1.27,24769.99,5.96,68.0
Std,3.37,346.62,3769.93,89.62,11.46,10.21,1869.42,52.19,8.14,8.71,72267.25,1397923.19,0.63,0.055,1.95,8.71,219711.39,2.55,0.51
Median absolute deviation,1.28,121.33,305.81,28.05,6.9,1.33,162.73,7.65,4.25,0.15,22242.71,120284.86,0.42,0.0096,0.098,0.15,3593.05,1.86,0.51
