,Eta,Beta,Epsilon,Xc,Beta/Eta,Beta*Xc/Eps,Fx=Beta^2/(Eta*Xc),Dx=Beta*Eps/(Eta*Xc^2),Xc^2/Eps,Beta*Kappa/Eps,Fk=Beta^2/(Eta*Kappa),Dk=Beta*Eps/(Eta*Kappa^2),s=(Xc^1.5*Eta^0.5)/Eps,Slope=Eta*Xc/Eps,Xc/Eps,Fk/Dk,Fk^2/Dk,t_eta,Median Lifetime
Best fit,6.05,708.09,542.14,18.49,117.06,24.15,4483.13,185.65,0.63,0.65,165778.88,253855.82,0.36,0.21,0.034,0.65,108260.81,1.75,71.0
Median,1.54,166.38,163.3,23.06,108.17,21.34,769.99,33.95,3.22,0.48,36029.21,68817.66,0.8,0.2,0.13,0.48,16983.54,3.91,71.0
Mean,2.5,273.68,737.44,37.2,110.43,26.5,2198.26,64.07,4.85,3.73,60510.33,307665.77,0.94,0.23,0.68,3.73,103902.71,4.28,71.0
Std,2.89,324.38,1473.13,40.07,16.46,15.97,6832.99,100.37,4.52,11.14,73618.3,626681.1,0.49,0.085,2.2,11.14,544697.04,2.08,0.51
Median absolute deviation,1.02,113.54,159.29,17.67,8.67,2.65,565.78,22.94,2.17,0.35,24881.5,67177.73,0.3,0.013,0.082,0.35,13294.36,1.48,0.51
