,Eta,Beta,Epsilon,Xc,Beta/Eta,Beta*Xc/Eps,Fx=Beta^2/(Eta*Xc),Dx=Beta*Eps/(Eta*Xc^2),Xc^2/Eps,Beta*Kappa/Eps,Fk=Beta^2/(Eta*Kappa),Dk=Beta*Eps/(Eta*Kappa^2),s=(Xc^1.5*Eta^0.5)/Eps,Slope=Eta*Xc/Eps,Xc/Eps,Fk/Dk,Fk^2/Dk,t_eta,Median Lifetime
Best fit,0.91,125.95,426.5,36.43,138.13,10.76,477.5,44.38,3.11,0.15,34795.45,235647.04,0.49,0.078,0.085,0.15,5137.87,6.32,68.09
Median,0.3,31.37,153.27,43.51,103.68,9.23,71.09,7.61,13.52,0.1,6543.48,63005.35,1.1,0.089,0.3,0.1,659.04,12.35,68.09
Mean,0.39,42.05,370.28,58.75,107.95,9.53,192.97,16.18,18.0,0.33,9613.92,148225.3,1.21,0.091,0.93,0.33,2477.19,12.85,68.09
Std,0.3,34.66,603.44,55.31,28.57,1.56,623.08,35.31,13.83,0.92,8933.65,223215.14,0.55,0.011,3.93,0.92,11567.46,4.39,0.51
Median absolute deviation,0.2,21.23,142.62,27.07,16.49,0.72,48.77,4.93,7.73,0.064,4735.22,58388.7,0.39,0.0081,0.18,0.064,477.04,3.32,0.51
