,Eta,Beta,Epsilon,Xc,Beta/Eta,Beta*Xc/Eps,Fx=Beta^2/(Eta*Xc),Dx=Beta*Eps/(Eta*Xc^2),Xc^2/Eps,Beta*Kappa/Eps,Fk=Beta^2/(Eta*Kappa),Dk=Beta*Eps/(Eta*Kappa^2),s=(Xc^1.5*Eta^0.5)/Eps,Slope=Eta*Xc/Eps,Xc/Eps,Fk/Dk,Fk^2/Dk,t_eta,Median Lifetime
Best fit,1.45,196.79,153.4,13.4,135.62,17.19,1991.87,115.88,1.17,0.64,53378.96,83218.57,0.39,0.13,0.087,0.64,34238.92,3.04,70.0
Median,1.16,111.08,289.13,42.25,106.29,15.27,268.32,17.84,6.05,0.18,21303.58,129827.03,0.93,0.15,0.13,0.18,4236.9,6.45,70.0
Mean,2.15,251.56,1670.53,65.06,110.29,16.08,825.28,47.22,9.76,1.02,60442.41,735655.4,1.1,0.15,1.19,1.02,15184.44,6.92,70.0
Std,2.67,341.72,3455.43,75.6,26.64,3.56,1996.98,91.36,10.53,4.66,90322.39,1509991.5,0.68,0.024,8.18,4.66,51194.06,3.19,0.51
Median absolute deviation,0.94,92.48,281.68,30.97,13.31,0.7,191.12,12.75,4.09,0.11,18484.99,126453.68,0.39,0.016,0.11,0.11,3172.88,2.08,0.51
