,Eta,Beta,Epsilon,Xc,Beta/Eta,Beta*Xc/Eps,Fx=Beta^2/(Eta*Xc),Dx=Beta*Eps/(Eta*Xc^2),Xc^2/Eps,Beta*Kappa/Eps,Fk=Beta^2/(Eta*Kappa),Dk=Beta*Eps/(Eta*Kappa^2),s=(Xc^1.5*Eta^0.5)/Eps,Slope=Eta*Xc/Eps,Xc/Eps,Fk/Dk,Fk^2/Dk,t_eta,Median Lifetime
Best fit,7.94,922.32,543.62,17.43,116.22,29.57,6150.3,207.99,0.56,0.85,214384.31,252717.39,0.38,0.25,0.032,0.85,181865.74,1.48,80.0
Median,2.24,244.84,205.88,22.28,108.45,25.73,1177.62,44.72,2.44,0.58,53680.78,89939.62,0.77,0.24,0.11,0.58,31056.48,3.17,80.0
Mean,3.54,389.75,649.78,28.98,109.41,27.64,1954.19,65.6,3.05,1.27,86102.47,279964.24,0.82,0.25,0.22,1.27,62142.32,3.31,80.0
Std,3.49,393.31,1090.36,24.17,7.34,6.46,2539.28,68.89,2.18,2.34,89034.4,465866.56,0.3,0.04,0.33,2.34,111919.22,1.22,0.5
Median absolute deviation,1.41,152.96,183.49,12.19,4.37,2.0,627.19,22.38,1.24,0.33,33746.74,79954.16,0.2,0.012,0.076,0.33,18051.57,0.87,0.5
