,Eta,Beta,Epsilon,Xc,Beta/Eta,Beta*Xc/Eps,Fx=Beta^2/(Eta*Xc),Dx=Beta*Eps/(Eta*Xc^2),Xc^2/Eps,Beta*Kappa/Eps,Fk=Beta^2/(Eta*Kappa),Dk=Beta*Eps/(Eta*Kappa^2),s=(Xc^1.5*Eta^0.5)/Eps,Slope=Eta*Xc/Eps,Xc/Eps,Fk/Dk,Fk^2/Dk,t_eta,Median Lifetime
Best fit,2.49,222.07,1255.58,104.47,89.03,18.48,189.24,10.24,8.69,0.088,39539.49,447114.35,1.34,0.21,0.083,0.088,3496.58,6.47,70.0
Median,1.38,132.83,260.72,44.83,93.28,19.3,260.47,13.29,7.1,0.22,24694.94,97305.2,1.22,0.21,0.15,0.22,5029.79,5.81,70.0
Mean,2.43,233.65,1632.6,74.27,94.97,21.49,656.34,25.29,9.94,1.11,45324.06,603922.86,1.37,0.22,0.54,1.11,19745.64,6.16,70.0
Std,3.1,309.22,3880.69,92.18,11.91,6.95,1602.47,46.59,8.25,3.43,62515.39,1464643.76,0.61,0.04,1.3,3.43,73246.02,2.55,0.51
Median absolute deviation,1.09,103.55,254.43,35.28,7.23,1.18,170.28,8.48,4.3,0.16,18669.73,94796.73,0.43,0.012,0.11,0.16,3369.08,1.88,0.51
