,mean,std,mode,percentile_16,percentile_50,percentile_95,max_likelihood
xc/eta,2.155,"[0.0757, 0.0731]",2.484,"[2.425, 2.545]","[2.312, 2.67]","[2.1, 2.939]",2.196
beta/eta,116.087,"[0.263, 0.262]",113.932,"[113.664, 114.201]","[113.664, 114.741]","[112.598, 115.827]",116.22
xc^2/epsilon,0.551,"[0.0177, 0.0171]",0.602,"[0.589, 0.615]","[0.589, 0.643]","[0.538, 0.703]",0.559
xc,17.65,"[0.781, 0.748]",32.352,"[31.543, 33.183]","[29.983, 34.909]","[16.318, 49.779]",17.429
ExtH,6.157,"[0.00986, 0.00985]",6.157,"[6.151, 6.163]","[6.139, 6.163]","[6.127, 6.235]",6.163
eta,11.051,"[2.135, 1.789]",12.207,"[11.898, 12.524]","[11.303, 13.183]","[8.748, 13.876]",7.936
beta,1252.723,"[235.855, 198.485]",1697.017,"[1655.048, 1740.051]","[1497.295, 1740.051]","[1002.986, 1740.051]",922.32
epsilon,1363.092,"[556.127, 394.979]",1975.579,"[1881.889, 2073.935]","[1707.626, 2073.935]","[1406.017, 2285.579]",543.618
sqrt(xc/eta),1.468,"[0.0164, 0.0162]",1.614,"[1.595, 1.634]","[1.557, 1.714]","[1.484, 1.842]",1.482
s= eta^0.5*xc^1.5/epsilon,0.378,"[0.00203, 0.00202]",0.378,"[0.374, 0.382]","[0.366, 0.398]","[0.351, 0.462]",0.377
beta*xc/epsilon,29.439,"[0.213, 0.212]",27.398,"[27.2, 27.598]","[26.808, 27.598]","[26.421, 28.411]",29.57
eta*xc/epsilon,0.24,"[0.00223, 0.00221]",0.239,"[0.237, 0.24]","[0.237, 0.243]","[0.232, 0.246]",0.254
Fx=beta^2/eta*xc,5040.304,"[398.468, 369.274]",5227.895,"[5087.912, 5371.73]","[4819.09, 5371.73]","[3878.528, 5987.744]",6150.302
Dx =beta*epsilon/eta*xc^2,182.383,"[14.975, 13.839]",194.128,"[189.58, 198.785]","[180.801, 198.785]","[142.64, 218.558]",207.99
Pk=beta*k/epsilon,0.457,"[0.0777, 0.0664]",0.493,"[0.478, 0.509]","[0.448, 0.543]","[0.37, 0.658]",0.848
Fk=beta^2/eta*k,299735.265,"[60126.864, 50080.684]",320586.792,"[312561.845, 328817.778]","[282421.207, 345919.16]","[208344.162, 363909.964]",214384.314
Dk =beta*epsilon/eta*k^2,251474.492,"[10229.843, 9829.965]",876068.109,"[834957.151, 919203.256]","[834957.151, 1011949.684]","[688921.055, 1114054.108]",252717.388
Fk^2/Dk=beta^3/eta*epsilon,185648.395,"[2472.147, 2439.66]",134206.766,"[129915.386, 138639.899]","[129915.386, 147950.309]","[106899.989, 168488.849]",181865.738
best fit_MedianLifetime,80.38,0.5100000000000051,80.38,"[79.89, 80.89]","[79.89, 80.89]","[79.89, 80.89]",80.38
best fit_MaxLifetime,110.0,0,110.0,"[110.0, 110.0]","[110.0, 110.0]","[110.0, 110.0]",110.0
data_MedianLifetime,80.0,0.5,80.0,"[79.51, 80.5]","[79.51, 80.5]","[79.51, 80.5]",80.0
data_MaxLifetime,109.0,0,109.0,"[109.0, 109.0]","[109.0, 109.0]","[109.0, 109.0]",109.0
