,Eta,Beta,Epsilon,Xc,Beta/Eta,Beta*Xc/Eps,Fx=Beta^2/(Eta*Xc),Dx=Beta*Eps/(Eta*Xc^2),Xc^2/Eps,Beta*Kappa/Eps,Fk=Beta^2/(Eta*Kappa),Dk=Beta*Eps/(Eta*Kappa^2),s=(Xc^1.5*Eta^0.5)/Eps,Slope=Eta*Xc/Eps,Xc/Eps,Fk/Dk
Best fit,0.75,86.75,91.36,20.76,115.12,19.71,481.09,24.41,4.72,0.47,19974.19,42069.95,0.9,0.17,0.23,0.47
Median,0.84,101.67,96.47,18.97,119.25,19.89,649.05,32.67,3.68,0.52,24496.03,46312.59,0.78,0.17,0.2,0.52
Mean,0.85,102.71,99.36,19.21,123.26,20.26,716.54,36.43,4.03,0.56,25508.4,49332.9,0.81,0.17,0.21,0.56
Std,0.19,22.1,32.82,4.39,37.95,6.53,473.49,28.66,2.8,0.23,11250.36,25952.9,0.41,0.093,0.088,0.23
Median absolute deviation,0.11,12.44,17.19,2.28,4.83,0.76,134.34,7.08,0.65,0.079,3585.2,9089.35,0.091,0.0091,0.026,0.079
