,mean,std,mode,percentile_16,percentile_50,percentile_95,max_likelihood
xc/eta,564.703,"[37.603, 35.255]",588.022,"[580.888, 588.022]","[560.0, 595.244]","[495.647, 609.956]",585.496
beta/eta,1.468,"[1.411, 0.719]",2.392,"[2.245, 2.548]","[1.979, 3.966]","[0.72, 5.107]",1.018
xc^2/epsilon,439.582,"[34.689, 32.152]",448.203,"[448.203, 455.422]","[427.226, 462.757]","[375.963, 493.298]",456.506
xc,625.092,"[489.438, 274.505]",560.846,"[560.846, 647.443]","[485.831, 862.816]","[254.609, 2194.051]",493.355
eta,1.182,"[2.846, 0.835]",0.57,"[0.46, 0.658]","[0.46, 2.385]","[0.195, 6.975]",0.843
beta,1.506,"[7.329, 1.249]",6.214,"[5.079, 7.602]","[1.238, 12.587]","[0.0995, 28.2]",0.858
epsilon,991.981,"[10112.467, 903.366]",211.347,"[159.255, 323.111]","[138.243, 3581.23]","[21.967, 25963.113]",533.179
sqrt(xc/eta),23.767,"[0.767, 0.743]",24.102,"[24.102, 24.249]","[23.664, 24.398]","[22.263, 24.697]",24.197
s= eta^0.5*xc^1.5/epsilon,18.526,"[0.928, 0.884]",17.965,"[17.965, 18.153]","[17.779, 18.729]","[16.703, 20.144]",18.866
beta*xc/epsilon,1.166,"[1.051, 0.553]",1.805,"[1.696, 2.044]","[1.322, 2.97]","[0.553, 3.809]",0.794
eta*xc/epsilon,0.78,"[0.0274, 0.0264]",0.777,"[0.777, 0.781]","[0.761, 0.789]","[0.726, 0.827]",0.78
Fx=beta^2/eta*xc,0.00339,"[0.00975, 0.00252]",0.00882,"[0.0067, 0.0101]","[0.00386, 0.0232]","[0.000845, 0.053]",0.00177
Dx =beta*epsilon/eta*xc^2,0.00314,"[0.00328, 0.0016]",0.00512,"[0.00474, 0.00598]","[0.00376, 0.0095]","[0.00149, 0.014]",0.00223
Pk=beta*k/epsilon,0.000791,"[0.000747, 0.000384]",0.000846,"[0.000757, 0.000846]","[0.000607, 0.00105]","[0.000116, 0.00619]",0.000805
Fk=beta^2/eta*k,3.16,"[14.069, 2.58]",21.166,"[15.471, 24.756]","[2.76, 28.956]","[0.263, 259.741]",1.748
Dk =beta*epsilon/eta*k^2,2996.252,"[18342.748, 2575.543]",5375.378,"[4582.58, 7396.171]","[1278.552, 14002.409]","[259.256, 247504.982]",2171.961
Fk^2/Dk=beta^3/eta*epsilon,0.00149,"[0.0129, 0.00134]",0.00105,"[0.000861, 0.00128]","[0.000578, 0.0116]","[0.000174, 0.516]",0.00141
best fit_MedianLifetime,31.93,0.509999999999998,31.93,"[31.44, 32.44]","[31.44, 32.44]","[31.44, 32.44]",31.93
best fit_MaxLifetime,59.57,0,59.57,"[59.57, 59.57]","[59.57, 59.57]","[59.57, 59.57]",59.57
data_MedianLifetime,31.0,0.46999999999999886,31.0,"[30.58, 31.47]","[30.58, 31.47]","[30.58, 31.47]",31.0
data_MaxLifetime,53,0,53,"[53, 53]","[53, 53]","[53, 53]",53
